record_id,experiment_id,experiment_date,prepared_sample_id,field_sample_id,collection_timestamp,provider_codename,resource_name,primary_product,parameter_name,unit,observed_value,repl_no,qc_pass,note,analyst_email,analysis_type
(03)e546,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,xylose,% dry weight,19.84,3,pass,,xkang2@lbl.gov,compositional
(03)f1df,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,glucan,% dry weight,28.15,3,pass,,xkang2@lbl.gov,compositional
(03)fa75,28.0,,50,17.0,2024-11-21 15:40:00,tiny,almond hulls,almonds,glucose,% dry weight,30.52,2,pass,,xkang2@lbl.gov,compositional
(04)0340,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,lignin,% dry weight,30.02,3,pass,,,compositional
(04)2869,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,lignin,% dry weight,30.99,1,pass,,,compositional
(04)5f38,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,glucan,% dry weight,20.18,3,pass,,,compositional
(04)68e4,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,xylan,% dry weight,15.17,3,pass,,,compositional
(04)6ff4,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,xylan,% dry weight,17.03,2,pass,,,compositional
(04)8000,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,glucan,% dry weight,22.18,2,pass,,,compositional
(04)8271,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,glucan,% dry weight,21.56,1,pass,,,compositional
(04)a7a4,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,glucose,% dry weight,22.42,3,pass,,,compositional
(04)aa6b,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,xylose,% dry weight,19.35,2,pass,,,compositional
(04)c1d7,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,xylose,% dry weight,17.24,3,pass,,,compositional
(04)c311,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,glucose,% dry weight,23.95,1,pass,,,compositional
(04)d679,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,xylan,% dry weight,17.04,1,pass,,,compositional
(04)e941,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,xylose,% dry weight,19.37,1,pass,,,compositional
(04)ec17,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,glucose,% dry weight,24.64,2,pass,,,compositional
(04)ef2c,38.0,,148,78.0,2025-09-26 11:15:00,capstan,almond shells,almonds,lignin,% dry weight,30.71,2,pass,,,compositional
(0d)4993,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,glucan,% dry weight,10.17,1,pass,,xkang2@lbl.gov,compositional
(0d)4994,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,glucan,% dry weight,9.92,2,pass,,xkang2@lbl.gov,compositional
(0d)4995,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,glucan,% dry weight,9.98,3,pass,,xkang2@lbl.gov,compositional
(0d)4996,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,glucose,% dry weight,11.3,1,pass,,xkang2@lbl.gov,compositional
(0d)4997,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,glucose,% dry weight,11.02,2,pass,,xkang2@lbl.gov,compositional
(0d)4998,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,glucose,% dry weight,11.08,3,pass,,xkang2@lbl.gov,compositional
(0d)4999,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,xylan,% dry weight,4.81,1,pass,,xkang2@lbl.gov,compositional
(0d)5000,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,xylan,% dry weight,4.3,2,pass,,xkang2@lbl.gov,compositional
(0d)5001,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,xylan,% dry weight,4.11,3,pass,,xkang2@lbl.gov,compositional
(0d)5002,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,xylose,% dry weight,5.46,1,pass,,xkang2@lbl.gov,compositional
(0d)5003,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,xylose,% dry weight,4.89,2,pass,,xkang2@lbl.gov,compositional
(0d)5004,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,xylose,% dry weight,4.67,3,pass,,xkang2@lbl.gov,compositional
(0d)5005,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,lignin,% dry weight,25.4,1,pass,,xkang2@lbl.gov,compositional
(0d)5006,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,lignin,% dry weight,26.39,2,pass,,xkang2@lbl.gov,compositional
(0d)5007,29.0,,52,27.0,2025-01-08 09:15:00,hairpin,sargassum,sargassum,lignin,% dry weight,25.76,3,pass,,xkang2@lbl.gov,compositional
(13)0685,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,lignin,% dry weight,29.45,1,pass,,xkang2@lbl.gov,compositional
(13)29f0,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,xylan,% dry weight,15.52,3,pass,,xkang2@lbl.gov,compositional
(13)2c76,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,xylose,% dry weight,16.41,2,pass,,xkang2@lbl.gov,compositional
(13)336e,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,glucan,% dry weight,20.04,3,pass,,xkang2@lbl.gov,compositional
(13)3600,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,lignin,% dry weight,28.53,3,pass,,xkang2@lbl.gov,compositional
(13)6427,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,xylose,% dry weight,22.24,1,pass,,xkang2@lbl.gov,compositional
(13)6f70,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,xylose,% dry weight,17.63,3,pass,,xkang2@lbl.gov,compositional
(13)8405,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,glucose,% dry weight,20.79,2,pass,,xkang2@lbl.gov,compositional
(13)9bb5,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,xylan,% dry weight,19.57,1,pass,,xkang2@lbl.gov,compositional
(13)aaf9,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,xylan,% dry weight,14.44,2,pass,,xkang2@lbl.gov,compositional
(13)b5a0,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,glucan,% dry weight,24.17,1,pass,,xkang2@lbl.gov,compositional
(13)b6b6,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,glucan,% dry weight,18.71,2,pass,,xkang2@lbl.gov,compositional
(13)c9f5,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,lignin,% dry weight,28.45,2,pass,,xkang2@lbl.gov,compositional
(13)ce37,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,glucose,% dry weight,22.26,3,pass,,xkang2@lbl.gov,compositional
(13)f0ed,30.0,,70,24.0,2024-12-16 00:00:00,humorous,almond shells,almonds,glucose,% dry weight,26.86,1,pass,,xkang2@lbl.gov,compositional
(15)0b07,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,glucose,% dry weight,23.56,3,pass,,xkang2@lbl.gov,compositional
(15)0e88,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,lignin,% dry weight,50.24,2,pass,,,compositional
(15)1b96,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,glucose,% dry weight,12.81,1,pass,,,compositional
(15)1c41,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,lignin,% dry weight,20.93,2,pass,,xkang2@lbl.gov,compositional
(15)1ee2,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,xylan,% dry weight,10.23,3,pass,,xkang2@lbl.gov,compositional
(15)2b3c,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,lignin,% dry weight,20.79,3,pass,,xkang2@lbl.gov,compositional
(15)3f87,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,glucose,% dry weight,23.27,2,pass,,xkang2@lbl.gov,compositional
(15)42c9,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,lignin,% dry weight,50.35,3,pass,,,compositional
(15)44b9,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,glucose,% dry weight,24.78,1,pass,,xkang2@lbl.gov,compositional
(15)50cf,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,glucan,% dry weight,11.53,1,pass,,,compositional
(15)65e3,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,xylan,% dry weight,10.81,1,pass,,xkang2@lbl.gov,compositional
(15)797a,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,glucan,% dry weight,11.84,2,pass,,,compositional
(15)7ae4,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,xylose,% dry weight,22.96,1,pass,,,compositional
(15)849b,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,glucan,% dry weight,20.94,2,pass,,xkang2@lbl.gov,compositional
(15)8611,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,xylose,% dry weight,23.19,2,pass,,,compositional
(15)8db8,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,glucan,% dry weight,22.3,1,pass,,xkang2@lbl.gov,compositional
(15)93e3,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,xylose,% dry weight,22.54,3,pass,,,compositional
(15)95c9,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,lignin,% dry weight,50.73,1,pass,,,compositional
(15)962e,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,xylose,% dry weight,11.63,3,pass,,xkang2@lbl.gov,compositional
(15)968f,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,xylose,% dry weight,12.28,1,pass,,xkang2@lbl.gov,compositional
(15)9c77,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,glucose,% dry weight,12.87,3,pass,,,compositional
(15)ab15,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,glucose,% dry weight,13.16,2,pass,,,compositional
(15)b511,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,xylan,% dry weight,20.41,2,pass,,,compositional
(15)c93b,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,glucan,% dry weight,21.2,3,pass,,xkang2@lbl.gov,compositional
(15)cd40,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,xylan,% dry weight,20.21,1,pass,,,compositional
(15)d283,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,xylose,% dry weight,11.67,2,pass,,xkang2@lbl.gov,compositional
(15)d582,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,lignin,% dry weight,20.4,1,pass,,xkang2@lbl.gov,compositional
(15)d98b,30.0,,71,25.0,2024-12-16 00:00:00,humorous,almond hulls,almonds,xylan,% dry weight,10.27,2,pass,,xkang2@lbl.gov,compositional
(15)e1e0,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,xylan,% dry weight,19.83,3,pass,,,compositional
(15)fea0,37.0,,160,89.0,2025-10-28 10:42:00,cutaway,walnut shells,walnuts,glucan,% dry weight,11.58,3,pass,,,compositional
(24)0b42,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,xylose,% dry weight,25.73,2,pass,,xkang2@lbl.gov,compositional
(24)0bc2,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,xylan,% dry weight,23.03,3,pass,,xkang2@lbl.gov,compositional
(24)1926,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,xylan,% dry weight,22.64,2,pass,,xkang2@lbl.gov,compositional
(24)2a68,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,glucan,% dry weight,26.61,2,pass,,xkang2@lbl.gov,compositional
(24)42f3,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,glucan,% dry weight,26.98,3,pass,,xkang2@lbl.gov,compositional
(24)6b86,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,xylan,% dry weight,23.18,1,pass,,xkang2@lbl.gov,compositional
(24)70e6,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,glucan,% dry weight,27.22,1,pass,,xkang2@lbl.gov,compositional
(24)773e,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,lignin,% dry weight,24.57,1,pass,,xkang2@lbl.gov,compositional
(24)7d8d,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,xylose,% dry weight,26.17,3,pass,,xkang2@lbl.gov,compositional
(24)8d6f,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,glucose,% dry weight,29.57,2,pass,,xkang2@lbl.gov,compositional
(24)a25e,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,lignin,% dry weight,24.8,2,pass,,xkang2@lbl.gov,compositional
(24)ec0a,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,lignin,% dry weight,24.75,3,pass,,xkang2@lbl.gov,compositional
(24)ec7f,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,xylose,% dry weight,26.34,1,pass,,xkang2@lbl.gov,compositional
(24)ec97,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,glucose,% dry weight,30.24,1,pass,,xkang2@lbl.gov,compositional
(24)fab3,28.0,,49,16.0,2024-11-21 15:10:00,tiny,almond shells,almonds,glucose,% dry weight,29.97,3,pass,,xkang2@lbl.gov,compositional
(28)1266,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,lignin+,% dry weight,40.34,3,pass,,xkang2@lbl.gov,compositional
(28)2429,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,xylose,% dry weight,12.56,3,pass,,xkang2@lbl.gov,compositional
(28)4712,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,lignin,% dry weight,15.63,2,pass,,xkang2@lbl.gov,compositional
(28)48e7,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,glucan,% dry weight,34.12,1,pass,,xkang2@lbl.gov,compositional
(28)491e,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,glucan,% dry weight,13.84,3,pass,,xkang2@lbl.gov,compositional
(28)50a7,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,lignin,% dry weight,15.77,1,pass,,xkang2@lbl.gov,compositional
(28)520d,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylose,% dry weight,29.05,2,pass,,xkang2@lbl.gov,compositional
(28)59b5,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,glucose,% dry weight,15.37,3,pass,,xkang2@lbl.gov,compositional
(28)75a7,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,glucan,% dry weight,13.66,2,pass,,xkang2@lbl.gov,compositional
(28)7919,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,xylose,% dry weight,10.64,1,pass,,xkang2@lbl.gov,compositional
(28)847b,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,xylan,% dry weight,11.06,3,pass,,xkang2@lbl.gov,compositional
(28)8908,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,lignin,% dry weight,15.97,3,pass,,xkang2@lbl.gov,compositional
(28)8c33,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,xylan,% dry weight,9.36,1,pass,,xkang2@lbl.gov,compositional
(28)97be,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,glucose,% dry weight,37.81,2,pass,,xkang2@lbl.gov,compositional
(28)9a1d,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,glucan,% dry weight,34.03,2,pass,,xkang2@lbl.gov,compositional
(28)a3d2,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,xylose,% dry weight,12.8,2,pass,,xkang2@lbl.gov,compositional
(28)a602,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,glucan,% dry weight,11.71,1,pass,,xkang2@lbl.gov,compositional
(28)a625,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylan,% dry weight,25.71,3,pass,,xkang2@lbl.gov,compositional
(28)a74f,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,glucose,% dry weight,37.91,1,pass,,xkang2@lbl.gov,compositional
(28)a764,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylose,% dry weight,28.52,1,pass,,xkang2@lbl.gov,compositional
(28)bca2,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,glucan,% dry weight,34.09,3,pass,,xkang2@lbl.gov,compositional
(28)c01c,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylose,% dry weight,29.21,3,pass,,xkang2@lbl.gov,compositional
(28)c6e6,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylan,% dry weight,25.09,1,pass,,xkang2@lbl.gov,compositional
(28)c7e9,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylan,% dry weight,25.56,2,pass,,xkang2@lbl.gov,compositional
(28)cfc4,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,glucose,% dry weight,13.01,1,pass,,xkang2@lbl.gov,compositional
(28)d0cf,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,lignin+,% dry weight,40.12,1,pass,,xkang2@lbl.gov,compositional
(28)e48e,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,lignin+,% dry weight,39.76,2,pass,,xkang2@lbl.gov,compositional
(28)f0fe,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,xylan,% dry weight,11.26,2,pass,,xkang2@lbl.gov,compositional
(28)f2a0,30.0,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,glucose,% dry weight,37.88,3,pass,,xkang2@lbl.gov,compositional
(28)f6c9,35.0,,10,1.0,2024-09-09 15:00:00,riverstone,tomato pomace,tomatoes for processing,glucose,% dry weight,15.17,2,pass,,xkang2@lbl.gov,compositional
(31)04ab,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,xylan,% dry weight,16.63,2,pass,,xkang2@lbl.gov,compositional
(31)1e1b,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,xylose,% dry weight,18.9,2,pass,,xkang2@lbl.gov,compositional
(31)3fdc,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,xylan,% dry weight,16.42,3,pass,,xkang2@lbl.gov,compositional
(31)504a,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,lignin,% dry weight,20.99,3,pass,,xkang2@lbl.gov,compositional
(31)52b7,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,xylose,% dry weight,18.66,3,pass,,xkang2@lbl.gov,compositional
(31)6292,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,lignin,% dry weight,20.47,2,pass,,xkang2@lbl.gov,compositional
(31)7265,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,glucose,% dry weight,34.55,2,pass,,xkang2@lbl.gov,compositional
(31)749c,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,glucan,% dry weight,30.63,1,pass,,xkang2@lbl.gov,compositional
(31)8be1,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,xylan,% dry weight,16.53,1,pass,,xkang2@lbl.gov,compositional
(31)9a9b,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,xylose,% dry weight,18.79,1,pass,,xkang2@lbl.gov,compositional
(31)bcc3,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,lignin,% dry weight,20.48,1,pass,,xkang2@lbl.gov,compositional
(31)d8e4,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,glucan,% dry weight,31.09,2,pass,,xkang2@lbl.gov,compositional
(31)edc7,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,glucan,% dry weight,31.06,3,pass,,xkang2@lbl.gov,compositional
(31)eec3,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,glucose,% dry weight,34.04,1,pass,,xkang2@lbl.gov,compositional
(31)f0ca,28.0,,48,14.0,2024-11-21 12:40:00,vibrant,almond hulls,almonds,glucose,% dry weight,34.52,3,pass,,xkang2@lbl.gov,compositional
(37)0930,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,xylose,% dry weight,25.89,1,pass,,xkang2@lbl.gov,compositional
(37)2e71,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,xylan,% dry weight,23.55,2,pass,,xkang2@lbl.gov,compositional
(37)3b10,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,glucan,% dry weight,28.67,2,pass,,xkang2@lbl.gov,compositional
(37)4504,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,xylan,% dry weight,23.33,3,pass,,xkang2@lbl.gov,compositional
(37)4b35,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,lignin,% dry weight,26.76,3,pass,,xkang2@lbl.gov,compositional
(37)679f,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,xylan,% dry weight,22.79,1,pass,,xkang2@lbl.gov,compositional
(37)6df6,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,lignin,% dry weight,26.23,1,pass,,xkang2@lbl.gov,compositional
(37)82b5,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,xylose,% dry weight,26.76,2,pass,,xkang2@lbl.gov,compositional
(37)8ab5,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,glucose,% dry weight,31.27,1,pass,,xkang2@lbl.gov,compositional
(37)99cb,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,lignin,% dry weight,25.8,2,pass,,xkang2@lbl.gov,compositional
(37)9c26,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,xylose,% dry weight,26.51,3,pass,,xkang2@lbl.gov,compositional
(37)c333,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,glucan,% dry weight,28.6,3,pass,,xkang2@lbl.gov,compositional
(37)d647,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,glucose,% dry weight,31.86,2,pass,,xkang2@lbl.gov,compositional
(37)da91,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,glucose,% dry weight,31.78,3,pass,,xkang2@lbl.gov,compositional
(37)fb45,28.0,,47,13.0,2024-11-21 12:10:00,vibrant,almond shells,almonds,glucan,% dry weight,28.14,1,pass,,xkang2@lbl.gov,compositional
(3c)1095,32.0,,77,33.0,2025-06-30 10:45:00,possessive,alfalfa,hay - alfalfa,lignin,% dry weight,20.6,3,pass,,,compositional
(3c)1efb,32.0,,77,33.0,2025-06-30 10:45:00,possessive,alfalfa,hay - alfalfa,glucose,% dry weight,27.1,2,pass,,,compositional
(3c)3131,32.0,,77,33.0,2025-06-30 10:45:00,possessive,alfalfa,hay - alfalfa,glucan,% dry weight,25.1,3,pass,,,compositional
(3c)3f98,32.0,,77,33.0,2025-06-30 10:45:00,possessive,alfalfa,hay - alfalfa,xylose,% dry weight,13.15,3,pass,,,compositional
(3c)3fff,32.0,,77,33.0,2025-06-30 10:45:00,possessive,alfalfa,hay - alfalfa,glucose,% dry weight,27.89,3,pass,,,compositional
(3c)4cb4,32.0,,77,33.0,2025-06-30 10:45:00,possessive,alfalfa,hay - alfalfa,glucan,% dry weight,24.39,2,pass,,,compositional
(3c)594e,32.0,,77,33.0,2025-06-30 10:45:00,possessive,alfalfa,hay - alfalfa,xylan,% dry weight,11.32,1,pass,,,compositional
