resource_name,parameter_name,unit,observed_value,record_id,qc_pass,note,analyst_name,analyst_email,created_at,provider_codename,sample_date
almond shells,xylose,% dry weight,19.37,(04)e941,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,24.64,(04)ec17,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,30.71,(04)ef2c,pass,,,,2026-07-08 03:54:13.565642,capstan,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,29.45,(13)0685,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,15.52,(13)29f0,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,16.41,(13)2c76,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,20.04,(13)336e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,28.53,(13)3600,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,22.24,(13)6427,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,17.63,(13)6f70,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,20.79,(13)8405,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,19.57,(13)9bb5,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,14.44,(13)aaf9,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,24.17,(13)b5a0,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,18.71,(13)b6b6,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,28.45,(13)c9f5,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,22.26,(13)ce37,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,26.86,(13)f0ed,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,23.56,(15)0b07,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,lignin,% dry weight,50.24,(15)0e88,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
walnut shells,glucose,% dry weight,12.81,(15)1b96,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.93,(15)1c41,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,10.23,(15)1ee2,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.79,(15)2b3c,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,23.27,(15)3f87,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,lignin,% dry weight,50.35,(15)42c9,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,24.78,(15)44b9,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,glucan,% dry weight,11.53,(15)50cf,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,10.81,(15)65e3,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,glucan,% dry weight,11.84,(15)797a,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
walnut shells,xylose,% dry weight,22.96,(15)7ae4,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,20.94,(15)849b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,xylose,% dry weight,23.19,(15)8611,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,22.3,(15)8db8,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,xylose,% dry weight,22.54,(15)93e3,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
walnut shells,lignin,% dry weight,50.73,(15)95c9,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,11.63,(15)962e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,12.28,(15)968f,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,glucose,% dry weight,12.87,(15)9c77,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
walnut shells,glucose,% dry weight,13.16,(15)ab15,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
walnut shells,xylan,% dry weight,20.41,(15)b511,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,21.2,(15)c93b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,xylan,% dry weight,20.21,(15)cd40,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,11.67,(15)d283,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.4,(15)d582,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,10.27,(15)d98b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
walnut shells,xylan,% dry weight,19.83,(15)e1e0,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
walnut shells,glucan,% dry weight,11.58,(15)fea0,pass,,,,2026-07-08 03:54:13.565642,cutaway,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,25.73,(24)0b42,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.03,(24)0bc2,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,22.64,(24)1926,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,26.61,(24)2a68,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,26.98,(24)42f3,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.18,(24)6b86,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,27.22,(24)70e6,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,24.57,(24)773e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.17,(24)7d8d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,29.57,(24)8d6f,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,24.8,(24)a25e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,24.75,(24)ec0a,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.34,(24)ec7f,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,30.24,(24)ec97,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,29.97,(24)fab3,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,tiny,2026-07-08 03:54:13.565642
tomato pomace,lignin+,% dry weight,40.34,(28)1266,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,xylose,% dry weight,12.56,(28)2429,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
corn stover cobs,lignin,% dry weight,15.63,(28)4712,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,glucan,% dry weight,34.12,(28)48e7,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
tomato pomace,glucan,% dry weight,13.84,(28)491e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
corn stover cobs,lignin,% dry weight,15.77,(28)50a7,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,xylose,% dry weight,29.05,(28)520d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
tomato pomace,glucose,% dry weight,15.37,(28)59b5,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,glucan,% dry weight,13.66,(28)75a7,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,xylose,% dry weight,10.64,(28)7919,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,xylan,% dry weight,11.06,(28)847b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
corn stover cobs,lignin,% dry weight,15.97,(28)8908,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
tomato pomace,xylan,% dry weight,9.36,(28)8c33,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
corn stover cobs,glucose,% dry weight,37.81,(28)97be,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,glucan,% dry weight,34.03,(28)9a1d,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
tomato pomace,xylose,% dry weight,12.8,(28)a3d2,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,glucan,% dry weight,11.71,(28)a602,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
corn stover cobs,xylan,% dry weight,25.71,(28)a625,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,glucose,% dry weight,37.91,(28)a74f,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,xylose,% dry weight,28.52,(28)a764,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,glucan,% dry weight,34.09,(28)bca2,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,xylose,% dry weight,29.21,(28)c01c,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,xylan,% dry weight,25.09,(28)c6e6,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
corn stover cobs,xylan,% dry weight,25.56,(28)c7e9,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
tomato pomace,glucose,% dry weight,13.01,(28)cfc4,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,lignin+,% dry weight,40.12,(28)d0cf,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,lignin+,% dry weight,39.76,(28)e48e,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
tomato pomace,xylan,% dry weight,11.26,(28)f0fe,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
corn stover cobs,glucose,% dry weight,37.88,(28)f2a0,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,caterpillar,2026-07-08 03:54:13.565642
tomato pomace,glucose,% dry weight,15.17,(28)f6c9,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,riverstone,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.63,(31)04ab,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,18.9,(31)1e1b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.42,(31)3fdc,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.99,(31)504a,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,18.66,(31)52b7,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.47,(31)6292,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,34.55,(31)7265,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,30.63,(31)749c,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.53,(31)8be1,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,18.79,(31)9a9b,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.48,(31)bcc3,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,31.09,(31)d8e4,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,31.06,(31)edc7,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,34.04,(31)eec3,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,34.52,(31)f0ca,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,25.89,(37)0930,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.55,(37)2e71,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,28.67,(37)3b10,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.33,(37)4504,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,26.76,(37)4b35,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,22.79,(37)679f,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,26.23,(37)6df6,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.76,(37)82b5,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,31.27,(37)8ab5,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,25.8,(37)99cb,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.51,(37)9c26,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,28.6,(37)c333,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,31.86,(37)d647,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,31.78,(37)da91,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,28.14,(37)fb45,pass,,,xkang2@lbl.gov,2026-07-08 03:54:13.565642,vibrant,2026-07-08 03:54:13.565642
rice straw,glucose,% dry weight,33.43,(42)0211,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,xylose,% dry weight,17.7,(42)0654,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,arabinose,% dry weight,2.64,(42)0843,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,glucan,% dry weight,31.72,(42)2e48,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,xylan,% dry weight,15.58,(42)446d,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,lignin,% dry weight,17.05,(42)47a3,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,xylose,% dry weight,18.43,(42)4816,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,xylose,% dry weight,18.11,(42)54b7,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,arabinan,% dry weight,2.32,(42)575c,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,arabinan,% dry weight,2.33,(42)672f,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,glucan,% dry weight,31.32,(42)7180,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,arabinose,% dry weight,2.57,(42)7a67,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,glucan,% dry weight,30.09,(42)8729,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,arabinose,% dry weight,2.64,(42)9356,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,lignin,% dry weight,16.85,(42)a992,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,glucose,% dry weight,35.25,(42)b7cc,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,arabinan,% dry weight,2.27,(42)cbb9,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,xylan,% dry weight,15.94,(42)cdaa,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,glucose,% dry weight,34.8,(42)d006,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,xylan,% dry weight,16.22,(42)dee4,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
rice straw,lignin,% dry weight,16.8,(42)f6e3,pass,,,,2026-07-08 03:54:13.565642,possessive,2026-07-08 03:54:13.565642
almond branches,glucan,% dry weight,22.41,(4c)0e12,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,glucose,% dry weight,25.22,(4c)1205,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,xylose,% dry weight,14.76,(4c)12e4,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,lignin,% dry weight,37.74,(4c)1473,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,glucose,% dry weight,25.73,(4c)21be,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,glucan,% dry weight,22.7,(4c)3b40,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,xylose,% dry weight,15.39,(4c)3b8c,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,xylan,% dry weight,13.54,(4c)5b6e,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,xylose,% dry weight,14.99,(4c)6022,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
almond branches,lignin,% dry weight,38.52,(4c)6cf6,pass,,,,2026-07-08 03:54:13.565642,humorous,2026-07-08 03:54:13.565642
