record_id,experiment_id,experiment_date,prepared_sample_id,field_sample_id,collection_timestamp,provider_codename,resource_name,primary_product,product_name,unit,observed_value,repl_no,qc_pass,note,analyst_email,reactor_vessel,strain_name,bioconversion_method,pretreatment_method,enz_hydr_method
proco04-07f9,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,rel_growth,pc,27.91353,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-0933,96,,318,,,,lab media,,gluconcteof,g_l,0.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-0963,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconct0,g_l,52.29,1,pass,test,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-0a4e,96,,318,,,,lab media,,sugarteof,g_l,0.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-0ba4,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconcteof,g_l,7.7,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-0d73,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconct0,g_l,16.76,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-0e8c,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,od600teof,,0.75,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-0e8c,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,od600teof,,0.75,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-100a,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,rel_growth,pc,10.43233,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-101d,96,,318,,,,lab media,,rel_growth,pc,112.5,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-1122,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconcteof,g_l,8.7,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-114e,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconct0,g_l,29.64,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-11b9,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconcteof,g_l,0.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-1246,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugarteof,g_l,13.26,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-1273,96,,318,,,,lab media,,od600teof,,3.99,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-1273,96,,318,,,,lab media,,od600teof,,3.99,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-12f3,96,,318,,,,lab media,,gluconct0,g_l,35.68,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-150d,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugart0,g_l,25.33,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-1517,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugart0,g_l,27.27,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-15a1,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,rel_growth,pc,26.78571,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-15e1,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconcteof,g_l,14.1,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-15ea,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,xylconct0,g_l,9.35,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-171c,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,etohyield,mol_pc,61.46,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-1758,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,etohtiter,g_l,25.96,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-1acc,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconct0,g_l,18.16,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-1c64,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugar_cons,pc,89.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-1fe2,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugarteof,g_l,2.5,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-2045,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.99,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-2045,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.99,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-20a2,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugar_cons,pc,89.10184,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-20ff,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,rel_growth,pc,7.0,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-229e,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconcteof,g_l,0.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-22ac,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,od600teof,,0.8,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-22ac,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,od600teof,,0.8,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-240e,96,,318,,,,lab media,,gluconct0,g_l,33.49,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-2410,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconcteof,g_l,0.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-258a,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugar_cons,pc,90.45545,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-25a6,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugar_cons,pc,91.46294,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-25b9,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugart0,g_l,85.39,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-2605,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,etohyield,mol_pc,72.69,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-28af,96,,318,,,,lab media,,sugart0,g_l,59.73,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-2c96,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,xylconct0,g_l,9.36,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-2c9b,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugart0,g_l,74.44,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-2e39,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,xylconct0,g_l,8.94,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-2efa,96,,318,,,,lab media,,xylconct0,g_l,27.72,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-2f34,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconct0,g_l,28.24,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-2f6e,96,,318,,,,lab media,,etohtiter,g_l,14.19,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-2fd4,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconcteof,g_l,0.0,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-306b,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugarteof,g_l,2.41,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-32a8,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconcteof,g_l,0.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-3321,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugar_cons,pc,84.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-339a,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,etohyield,mol_pc,81.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-33d7,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugart0,g_l,79.83,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-347c,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugart0,g_l,28.36,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-35a4,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,rel_growth,pc,22.55639,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-35ca,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconct0,g_l,15.89,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-36e1,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugart0,g_l,25.25,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-3857,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,xylconcteof,g_l,2.6,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-3a23,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconcteof,g_l,13.26,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-3ab4,96,,318,,,,lab media,,etohtiter,g_l,14.86,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-3b0f,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,rel_growth,pc,17.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-3d97,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,etohtiter,g_l,32.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-3e6e,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconct0,g_l,48.22,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-3fa2,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconcteof,g_l,0.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4041,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,rel_growth,pc,8.458647,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4087,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,od600teof,,0.62,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4087,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,od600teof,,0.62,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-41f9,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,xylconct0,g_l,10.38,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-45eb,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugarteof,g_l,5.6,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-464b,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,etohyield,mol_pc,64.34,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4892,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,rel_growth,pc,31.01504,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4992,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.37,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4992,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.37,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4a85,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugart0,g_l,83.88,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4acf,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,xylconcteof,g_l,2.4,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4b11,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconct0,g_l,15.25,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4b57,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,etohtiter,g_l,8.8,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4d25,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconcteof,g_l,0.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4d83,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugarteof,g_l,6.6,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4da9,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconcteof,g_l,0.0,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4db6,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.61,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4db6,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,od600teof,,0.61,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-4dc2,96,,318,,,,lab media,,sugar_cons,pc,100.0,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-4f62,96,,318,,,,lab media,,gluconcteof,g_l,0.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-5039,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugarteof,g_l,7.7,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-504e,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,rel_growth,pc,21.14662,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-506b,96,,318,,,,lab media,,xylconct0,g_l,27.02,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-5141,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,rel_growth,pc,19.73684,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-5170,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconcteof,g_l,0.0,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-52cc,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconct0,g_l,28.54,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-55f3,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconcteof,g_l,0.0,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-5865,96,,318,,,,lab media,,sugarteof,g_l,0.0,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,none20c,none
proco04-5878,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,xylconct0,g_l,29.99,2,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-58bc,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,gluconcteof,g_l,0.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-5bef,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugart0,g_l,78.6,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-5e7e,96,,68,29.0,2025-02-05 14:00:00,caterpillar,corn stover cobs,corn - all,sugarteof,g_l,11.85,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-62bd,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,gluconcteof,g_l,0.0,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-6413,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,sugar_cons,pc,89.25176,1,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
proco04-64bb,96,,65,4.0,2024-10-17 12:00:00,jaguar,olive pomace,olives - processing,etohyield,mol_pc,64.46,3,pass,,mduran@lbl.gov,incubator shaker,Saccharomyces cerevisiae NS 22273,1sac-etoh,cho10pc,ctec3:htec3 9:1
