resource_name,parameter_name,unit,observed_value,record_id,qc_pass,provider_codename,collection_timestamp,harvest_date,created_at,sample_date
almond shells,xylose,% dry weight,22.24,(13)6427,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,17.63,(13)6f70,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,20.79,(13)8405,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,19.57,(13)9bb5,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,14.44,(13)aaf9,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,24.17,(13)b5a0,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,18.71,(13)b6b6,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,28.45,(13)c9f5,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,22.26,(13)ce37,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,26.86,(13)f0ed,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,23.56,(15)0b07,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,lignin,% dry weight,50.24,(15)0e88,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,glucose,% dry weight,12.81,(15)1b96,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.93,(15)1c41,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,10.23,(15)1ee2,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.79,(15)2b3c,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,23.27,(15)3f87,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,lignin,% dry weight,50.35,(15)42c9,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,24.78,(15)44b9,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,glucan,% dry weight,11.53,(15)50cf,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,10.81,(15)65e3,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,glucan,% dry weight,11.84,(15)797a,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,xylose,% dry weight,22.96,(15)7ae4,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,20.94,(15)849b,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,xylose,% dry weight,23.19,(15)8611,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,22.3,(15)8db8,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,xylose,% dry weight,22.54,(15)93e3,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,lignin,% dry weight,50.73,(15)95c9,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,11.63,(15)962e,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,12.28,(15)968f,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,glucose,% dry weight,12.87,(15)9c77,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,glucose,% dry weight,13.16,(15)ab15,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,xylan,% dry weight,20.41,(15)b511,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,21.2,(15)c93b,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,xylan,% dry weight,20.21,(15)cd40,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,11.67,(15)d283,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.4,(15)d582,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,10.27,(15)d98b,pass,humorous,2024-12-16 00:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,xylan,% dry weight,19.83,(15)e1e0,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
walnut shells,glucan,% dry weight,11.58,(15)fea0,pass,cutaway,2025-10-28 10:42:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,25.73,(24)0b42,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.03,(24)0bc2,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,22.64,(24)1926,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,26.61,(24)2a68,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,26.98,(24)42f3,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.18,(24)6b86,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,27.22,(24)70e6,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,24.57,(24)773e,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.17,(24)7d8d,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,29.57,(24)8d6f,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,24.8,(24)a25e,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,24.75,(24)ec0a,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.34,(24)ec7f,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,30.24,(24)ec97,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,29.97,(24)fab3,pass,tiny,2024-11-21 15:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,lignin+,% dry weight,40.34,(28)1266,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,xylose,% dry weight,12.56,(28)2429,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,lignin,% dry weight,15.63,(28)4712,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,glucan,% dry weight,34.12,(28)48e7,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,glucan,% dry weight,13.84,(28)491e,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,lignin,% dry weight,15.77,(28)50a7,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,xylose,% dry weight,29.05,(28)520d,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,glucose,% dry weight,15.37,(28)59b5,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,glucan,% dry weight,13.66,(28)75a7,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,xylose,% dry weight,10.64,(28)7919,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,xylan,% dry weight,11.06,(28)847b,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,lignin,% dry weight,15.97,(28)8908,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,xylan,% dry weight,9.36,(28)8c33,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,glucose,% dry weight,37.81,(28)97be,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,glucan,% dry weight,34.03,(28)9a1d,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,xylose,% dry weight,12.8,(28)a3d2,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,glucan,% dry weight,11.71,(28)a602,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,xylan,% dry weight,25.71,(28)a625,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,glucose,% dry weight,37.91,(28)a74f,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,xylose,% dry weight,28.52,(28)a764,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,glucan,% dry weight,34.09,(28)bca2,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,xylose,% dry weight,29.21,(28)c01c,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,xylan,% dry weight,25.09,(28)c6e6,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,xylan,% dry weight,25.56,(28)c7e9,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,glucose,% dry weight,13.01,(28)cfc4,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,lignin+,% dry weight,40.12,(28)d0cf,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,lignin+,% dry weight,39.76,(28)e48e,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,xylan,% dry weight,11.26,(28)f0fe,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
corn stover cobs,glucose,% dry weight,37.88,(28)f2a0,pass,caterpillar,2025-02-05 14:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
tomato pomace,glucose,% dry weight,15.17,(28)f6c9,pass,riverstone,2024-09-09 15:00:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.63,(31)04ab,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,18.9,(31)1e1b,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.42,(31)3fdc,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.99,(31)504a,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,18.66,(31)52b7,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.47,(31)6292,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,34.55,(31)7265,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,30.63,(31)749c,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylan,% dry weight,16.53,(31)8be1,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,xylose,% dry weight,18.79,(31)9a9b,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,lignin,% dry weight,20.48,(31)bcc3,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,31.09,(31)d8e4,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucan,% dry weight,31.06,(31)edc7,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,34.04,(31)eec3,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond hulls,glucose,% dry weight,34.52,(31)f0ca,pass,vibrant,2024-11-21 12:40:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,25.89,(37)0930,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.55,(37)2e71,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,28.67,(37)3b10,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,23.33,(37)4504,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,26.76,(37)4b35,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylan,% dry weight,22.79,(37)679f,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,26.23,(37)6df6,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.76,(37)82b5,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,31.27,(37)8ab5,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,lignin,% dry weight,25.8,(37)99cb,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,xylose,% dry weight,26.51,(37)9c26,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,28.6,(37)c333,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,31.86,(37)d647,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucose,% dry weight,31.78,(37)da91,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
almond shells,glucan,% dry weight,28.14,(37)fb45,pass,vibrant,2024-11-21 12:10:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
alfalfa,lignin,% dry weight,20.6,(3c)1095,pass,possessive,2025-06-30 10:45:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
alfalfa,glucose,% dry weight,27.1,(3c)1efb,pass,possessive,2025-06-30 10:45:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
alfalfa,glucan,% dry weight,25.1,(3c)3131,pass,possessive,2025-06-30 10:45:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
alfalfa,xylose,% dry weight,13.15,(3c)3f98,pass,possessive,2025-06-30 10:45:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
alfalfa,glucose,% dry weight,27.89,(3c)3fff,pass,possessive,2025-06-30 10:45:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
alfalfa,glucan,% dry weight,24.39,(3c)4cb4,pass,possessive,2025-06-30 10:45:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
alfalfa,xylan,% dry weight,11.32,(3c)594e,pass,possessive,2025-06-30 10:45:00,,2026-07-08 03:54:13.565642,2026-07-08 03:54:13.565642
