resource_name,strain_name,observed_value,record_id,qc_pass,created_at,product_name,unit,provider_codename,sample_date
lab media,Saccharomyces cerevisiae NS 22273,27.72,proco04-2efa,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,28.24,proco04-2f34,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,14.19,proco04-2f6e,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-2fd4,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.41,proco04-306b,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.0,proco04-32a8,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,84.0,proco04-3321,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,81.0,proco04-339a,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,79.83,proco04-33d7,pass,2026-07-08 03:54:31.034951,sugart0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,28.36,proco04-347c,pass,2026-07-08 03:54:31.034951,sugart0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,22.55639,proco04-35a4,pass,2026-07-08 03:54:31.034951,rel_growth,pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,15.89,proco04-35ca,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,25.25,proco04-36e1,pass,2026-07-08 03:54:31.034951,sugart0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.6,proco04-3857,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,13.26,proco04-3a23,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,14.86,proco04-3ab4,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,17.0,proco04-3b0f,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,32.0,proco04-3d97,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,48.22,proco04-3e6e,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.0,proco04-3fa2,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,8.458647,proco04-4041,pass,2026-07-08 03:54:31.034951,rel_growth,pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.62,proco04-4087,pass,2026-07-08 03:54:31.034951,od600teof,,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,10.38,proco04-41f9,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,5.6,proco04-45eb,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,64.34,proco04-464b,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,31.01504,proco04-4892,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.37,proco04-4992,pass,2026-07-08 03:54:31.034951,od600teof,,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,83.88,proco04-4a85,pass,2026-07-08 03:54:31.034951,sugart0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.4,proco04-4acf,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,15.25,proco04-4b11,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,8.8,proco04-4b57,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.0,proco04-4d25,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,6.6,proco04-4d83,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.0,proco04-4da9,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.61,proco04-4db6,pass,2026-07-08 03:54:31.034951,od600teof,,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,100.0,proco04-4dc2,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,0.0,proco04-4f62,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,7.7,proco04-5039,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,21.14662,proco04-504e,pass,2026-07-08 03:54:31.034951,rel_growth,pc,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,27.02,proco04-506b,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,19.73684,proco04-5141,pass,2026-07-08 03:54:31.034951,rel_growth,pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-5170,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,28.54,proco04-52cc,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.0,proco04-55f3,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,0.0,proco04-5865,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,29.99,proco04-5878,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-58bc,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,78.6,proco04-5bef,pass,2026-07-08 03:54:31.034951,sugart0,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,11.85,proco04-5e7e,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.0,proco04-62bd,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,89.25176,proco04-6413,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,64.46,proco04-64bb,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,51.23,proco04-686b,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,90.20356,proco04-6dc0,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,80.83,proco04-6f67,pass,2026-07-08 03:54:31.034951,sugart0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.54,proco04-7009,pass,2026-07-08 03:54:31.034951,od600teof,,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,7.99,proco04-71b1,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,42.65,proco04-735f,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,0.0,proco04-7360,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,17.26,proco04-7429,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,90.19746,proco04-7454,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.41,proco04-76ee,pass,2026-07-08 03:54:31.034951,od600teof,,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,28.14,proco04-77f7,pass,2026-07-08 03:54:31.034951,sugart0,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,27.84,proco04-78c6,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.0,proco04-7ae2,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,77.31,proco04-7e6d,pass,2026-07-08 03:54:31.034951,sugart0,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,67.02,proco04-7ea5,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,14.85,proco04-7f10,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,15.4,proco04-8020,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.5,proco04-80b6,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,1.1,proco04-81ad,pass,2026-07-08 03:54:31.034951,od600teof,,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,28.04,proco04-8297,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.5,proco04-8354,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.6,proco04-83cc,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,93.89538,proco04-8404,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,8.3,proco04-8b6e,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,42.69,proco04-8e86,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,90.16135,proco04-9006,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,57.23684,proco04-91ee,pass,2026-07-08 03:54:31.034951,rel_growth,pc,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,36.71,proco04-92de,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.5,proco04-96e2,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,90.13028,proco04-9ad9,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,78.49,proco04-9af0,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,57.02,proco04-9c06,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,3.57,proco04-9c59,pass,2026-07-08 03:54:31.034951,od600teof,,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,84.0,proco04-9e10,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,90.20808,proco04-9e26,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,31.68,proco04-9f23,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,caterpillar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,26.24,proco04-9fc9,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,8.04,proco04-a385,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,0.85,proco04-a4cb,pass,2026-07-08 03:54:31.034951,od600teof,,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,0.0,proco04-a5aa,pass,2026-07-08 03:54:31.034951,xylconcteof,g_l,,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,83.57,proco04-a90f,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.78,proco04-a946,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,0.0,proco04-aa77,pass,2026-07-08 03:54:31.034951,gluconcteof,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.9,proco04-aa85,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,7.91,proco04-aadb,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,91.0283,proco04-ac1e,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,10.82,proco04-addd,pass,2026-07-08 03:54:31.034951,xylconct0,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,83.0,proco04-adef,pass,2026-07-08 03:54:31.034951,sugar_cons,pc,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,2.4,proco04-ae40,pass,2026-07-08 03:54:31.034951,sugarteof,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,60.33,proco04-ae67,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,11.56015,proco04-aefd,pass,2026-07-08 03:54:31.034951,rel_growth,pc,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,17.89,proco04-b085,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,28.98,proco04-b137,pass,2026-07-08 03:54:31.034951,sugart0,g_l,jaguar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,71.85,proco04-b178,pass,2026-07-08 03:54:31.034951,etohyield,mol_pc,caterpillar,2026-07-08 03:54:31.034951
corn stover cobs,Saccharomyces cerevisiae NS 22273,29.55,proco04-b333,pass,2026-07-08 03:54:31.034951,etohtiter,g_l,caterpillar,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,17.76,proco04-b3f2,pass,2026-07-08 03:54:31.034951,gluconct0,g_l,jaguar,2026-07-08 03:54:31.034951
lab media,Saccharomyces cerevisiae NS 22273,3.08,proco04-b406,pass,2026-07-08 03:54:31.034951,od600teof,,,2026-07-08 03:54:31.034951
olive pomace,Saccharomyces cerevisiae NS 22273,25.41,proco04-b5b6,pass,2026-07-08 03:54:31.034951,sugart0,g_l,jaguar,2026-07-08 03:54:31.034951
