analysis_type,parameter,n_replicate_groups,n_independent_samples,replicate_n_counts,median_replicate_n,min_sample_mean,max_sample_mean,sample_mean_span,median_SD,Q1_SD,Q3_SD,median_RSD,Q1_RSD,Q3_RSD,P90_RSD,P95_RSD,n_RSD_defined,percent_RSD_defined,percent_RSD_gt_10,percent_RSD_gt_20,n_Dixon_calculated,percent_Dixon_calculated,percent_Dixon_flagged,percent_ROUT_flagged
icp,ca,50,25,"1:20, 2:30",2.0,0.049,42000.0,41999.951,77.78174593052023,30.052038200428274,136.11805537841042,2.9475575768088826,1.4579521261578303,4.60942432851048,5.622072871901208,6.790469882823191,30,60.0,3.3333333333333335,3.3333333333333335,0,0.0,,
icp,cu,37,25,"1:10, 2:27",2.0,1.6,34.099999999999994,32.49999999999999,0.2121320343559647,0.0,2.687005768508881,2.079725827019259,0.0,18.23009670246568,45.25483399593912,69.50299087623878,27,72.97297297297297,29.629629629629626,22.22222222222222,0,0.0,,
icp,fe,37,25,"1:10, 2:27",2.0,7.0,8840.0,8833.0,2.4748737341529163,0.0707106781186545,6.0104076400856545,5.275646261560285,0.2590134729621053,19.838746881000887,26.41706226692283,40.471802760595885,27,72.97297297297297,40.74074074074074,22.22222222222222,0,0.0,,
icp,k,50,25,"1:23, 2:27",2.0,0.22,84900.0,84899.78,282.842712474619,74.24621202458749,565.685424949238,2.396972139615416,1.1633555739244241,4.965885358785979,10.196727478494921,16.974450710885666,27,54.0,11.11111111111111,3.7037037037037033,0,0.0,,
icp,mg,50,25,"1:20, 2:30",2.0,0.0,9200.0,9200.0,18.031222920256962,2.1213203435596424,45.078057300642406,2.156288640534452,0.5524271728019904,4.398852029761555,6.531645101078052,7.247385823469072,30,60.0,3.3333333333333335,3.3333333333333335,0,0.0,,
icp,mn,37,25,"1:10, 2:27",2.0,5.6,121.0,115.4,0.3535533905932738,0.0707106781186545,2.5809397513309014,1.4002114478941534,0.3299098512534405,5.289869549496091,13.753086160751716,26.858868516896646,27,72.97297297297297,14.814814814814813,7.4074074074074066,0,0.0,,
icp,na,24,24,"1:3, 2:21",2.0,-240.5,15900.0,16140.5,20.50609665440988,4.949747468305833,77.78174593052023,8.31890330807703,4.104577621663337,85.05777222968615,103.07710427959267,147.16435547537284,21,87.5,42.857142857142854,33.33333333333333,0,0.0,,
icp,nd,24,24,2:24,2.0,1.84,70.0,68.16,0.0707106781186557,0.0,2.2309218946435574,1.0329761307750185,0.0,8.076866250622203,57.768481275119136,130.1076477383246,24,100.0,25.0,20.833333333333336,0,0.0,,
icp,p,50,25,"1:20, 2:30",2.0,0.018,4525.0,4524.982,53.033008588991066,17.854446224960327,190.56527752977456,4.496578646454854,2.090698851797556,19.50978513782812,25.68895396415639,28.6159784579839,30,60.0,40.0,26.666666666666668,0,0.0,,
icp,s,37,25,"1:10, 2:27",2.0,157.0,11350.0,11193.0,23.33452377915607,13.435028842544405,52.67945519839779,3.1831173429619506,1.3622060163803007,7.902670159993475,22.088548340974178,25.30016693403147,27,72.97297297297297,22.22222222222222,14.814814814814813,0,0.0,,
icp,si,24,24,2:24,2.0,7.0,66.0,59.0,0.2474873734152914,0.0,2.6693280989792183,1.456299275377111,0.0,14.681827715290778,29.485890614184136,33.72980622901347,24,100.0,33.33333333333333,20.833333333333336,0,0.0,,
icp,ti,24,24,2:24,2.0,0.0,14.3,14.3,0.0,0.0,0.6699836751742536,1.187746424878775,0.1966917332925073,141.4213562373095,141.4213562373095,141.4213562373095,14,58.333333333333336,42.857142857142854,42.857142857142854,0,0.0,,
icp,zn,37,25,"1:10, 2:27",2.0,0.0,37.0,37.0,0.141421356237309,0.0,2.474873734152916,2.1095439051846805,0.0,14.43949993057668,21.405848396062968,29.30352426538846,26,70.27027027027027,30.76923076923077,11.538461538461538,0,0.0,,
proximate,ash,115,106,3:115,3.0,0.0766666666666666,65.76,65.68333333333334,0.1887679351302369,0.07322216659934169,0.37590746697646554,4.404594298704791,2.526741540334765,9.636098610097203,14.166032069569265,16.227677486049398,115,100.0,22.608695652173914,4.3478260869565215,115,100.0,13.043478260869565,
proximate,moisture,115,106,"1:21, 3:94",3.0,0.36,97.31333333333332,96.95333333333332,0.1145252200041275,0.0495796788594896,0.6582093076609807,0.9948857956332957,0.42666325332087673,2.2697203339925807,4.244871447408271,5.377101093016639,94,81.73913043478261,1.0638297872340425,1.0638297872340425,94,81.73913043478261,8.51063829787234,
proximate,total solids,115,106,3:115,3.0,2.686666666666667,99.18,96.49333333333334,0.182300118851671,0.0597111390369021,0.7833410163707668,0.3064256168790842,0.07019958711491969,1.3473470575586912,4.200026006513755,6.516684029618782,115,100.0,0.8695652173913043,0.0,115,100.0,7.82608695652174,
proximate,volatile solids,115,106,3:115,3.0,0.99,98.51666666666668,97.52666666666669,0.3521836642056714,0.1543138235118269,0.9074850623649791,1.0521472702529502,0.30162530822811545,3.503455463569192,7.916463946683877,16.060045104668248,115,100.0,6.956521739130435,3.4782608695652173,115,100.0,7.82608695652174,
ultimate,adf-r,13,13,"1:9, 2:4",1.0,12.1,82.9,70.80000000000001,0.24748737341529015,0.10606601717797988,0.37123106012293644,0.6225965008064918,0.24215985657073033,1.1461737000288192,1.5491226129470768,1.683438917253162,4,30.76923076923077,0.0,0.0,0,0.0,,
ultimate,carbon,1,1,4:1,4.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0,0,0.0,,
ultimate,cf,13,13,"1:9, 2:4",1.0,0.5,9.895,9.395,0.10253048327204964,0.04242640687119277,0.18207999615553652,2.2311925953432383,1.1255110463555504,3.144393748991616,3.4732356651941867,3.58284963726171,4,30.76923076923077,0.0,0.0,0,0.0,,
ultimate,dm,13,13,"1:12, 2:1",1.0,81.3,97.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7.6923076923076925,0.0,0.0,0,0.0,,
ultimate,nitrogen,14,13,"1:9, 2:4, 4:1",1.0,0.23,25.0,24.77,0.0,0.0,0.0919238815542511,0.0,0.0,3.4018882943682724,4.318091989733939,4.623493221522494,5,35.714285714285715,0.0,0.0,0,0.0,,
ultimate,oxygen,1,1,2:1,2.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0,0,0.0,,
ultimate,sulfur,2,2,"1:1, 2:1",1.5,25.0,270.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,0.0,0.0,0,0.0,,
xrd,crystallinity,10,10,"1:1, 2:1, 3:8",3.0,52.00333333333333,60.14000000000001,8.136666666666677,0.7850053078376819,0.4600000000000008,1.5750026455004231,1.488349822102664,0.8177777777777793,2.8011666685447416,3.6382632262397054,3.8141979627427833,9,90.0,0.0,0.0,8,80.0,0.0,
xrf,ag,10,10,1:10,1.0,0.0,3.0,3.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,al,36,36,"1:15, 2:4, 3:17",2.0,0.0,18600.0,18600.0,197.568553503166,112.69427669584644,312.62330900515616,9.045147133075131,6.679037358230223,15.930802185071984,19.25053676542466,27.52316753904672,21,58.333333333333336,47.61904761904761,9.523809523809524,17,47.22222222222222,0.0,
xrf,as,11,11,"1:10, 3:1",1.0,0.0,7.333333333333333,7.333333333333333,0.5773502691896258,0.5773502691896258,0.5773502691896258,7.872958216222171,7.872958216222171,7.872958216222171,7.872958216222171,7.872958216222171,1,9.090909090909092,0.0,0.0,1,9.090909090909092,100.0,
xrf,ba,55,55,"1:18, 2:11, 3:26",2.0,0.0,731.3333333333334,731.3333333333334,4.242640687119285,2.8284271247461903,7.071067811865476,16.37577753773536,11.538461538461538,21.414478318577007,24.45997952351143,31.51991463865738,37,67.27272727272727,78.37837837837837,27.027027027027028,26,47.27272727272727,15.384615384615385,
xrf,bi,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,ca,55,55,"1:10, 3:45",3.0,553.6666666666666,35966.666666666664,35413.0,118.46237095944574,45.8257569495584,321.45502536643187,2.2633188466788705,1.2816443607803532,4.1725057516518245,5.973722288284914,10.343199601878862,45,81.81818181818183,6.666666666666667,2.2222222222222223,45,81.81818181818183,17.77777777777778,
xrf,cd,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,ce,45,45,"1:22, 2:14, 3:9",2.0,0.0,1393.3333333333333,1393.3333333333333,5.656854249492381,3.181980515339464,15.556349186104043,12.297509238026914,5.938765587881191,24.494700956725822,31.910332968192215,41.41307274382314,23,51.11111111111111,65.21739130434783,39.130434782608695,9,20.0,22.22222222222222,
xrf,co,26,26,"1:25, 2:1",1.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8461538461538463,0.0,0.0,0,0.0,,
xrf,cr,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,cu,55,55,"1:10, 3:45",3.0,5.666666666666667,89.33333333333333,83.66666666666666,1.7320508075688772,1.1547005383792517,2.516611478423583,10.414944761263277,6.1858957413174185,15.231702435118043,24.75696505488425,29.32535438189352,45,81.81818181818183,53.333333333333336,15.555555555555555,44,80.0,43.18181818181818,
xrf,fe,55,55,"1:10, 2:1, 3:44",3.0,17.0,11000.0,10983.0,10.785793124908958,5.507570547286102,21.65640782770772,3.909754120944706,1.549415249905469,5.868835234592515,8.77155421122956,12.8557431151414,45,81.81818181818183,8.88888888888889,0.0,44,80.0,9.090909090909092,
xrf,hg,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,k,55,55,"1:10, 3:45",3.0,3062.6666666666665,78400.0,75337.33333333333,321.45502536643187,115.47005383792516,664.2539674953649,1.6713432861339614,0.6263789366497892,2.9931584716668342,4.976754350613598,11.02339811115344,45,81.81818181818183,6.666666666666667,2.2222222222222223,45,81.81818181818183,33.33333333333333,
xrf,la,48,48,"1:30, 2:15, 3:3",1.0,0.0,1058.6666666666667,1058.6666666666667,3.1462643699419726,2.1213203435596424,6.187184335382291,7.956396140473041,4.958673079849562,12.785854428325134,22.835265664534784,44.60198928809491,18,37.5,38.88888888888889,16.666666666666664,3,6.25,66.66666666666666,
xrf,mg,37,37,"1:20, 2:3, 3:14",1.0,0.0,11766.666666666666,11766.666666666666,1323.2283753507304,898.6656775464388,1854.624849756234,16.207033350622492,11.515056156259394,20.408158006689334,26.78324192647815,32.62456344077377,17,45.94594594594595,88.23529411764706,29.411764705882355,14,37.83783783783784,7.142857142857142,
xrf,mn,55,55,"1:10, 3:45",3.0,0.0,1370.0,1370.0,8.082903768654761,4.358898943540674,12.096831541082702,14.098087968583886,8.30435318697407,19.924242151981915,23.975638856632756,31.64977582009492,45,81.81818181818183,66.66666666666666,24.444444444444443,45,81.81818181818183,6.666666666666667,
xrf,mo,40,40,"1:19, 2:10, 3:11",2.0,0.0,31.666666666666668,31.666666666666668,1.1547005383792517,0.5773502691896258,1.5275252316519463,15.713484026367723,3.646422752776583,28.284271247461906,36.66060555964671,38.5694607919935,21,52.5,61.904761904761905,42.857142857142854,8,20.0,37.5,
xrf,nb,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,nd,32,32,"1:29, 2:2, 3:1",1.0,0.0,156.0,156.0,25.00666577801473,12.856886279600639,26.291915122145042,24.513035081133648,12.626730515010042,25.464263550081647,26.035000631450448,26.22524632524005,3,9.375,66.66666666666666,66.66666666666666,1,3.125,0.0,
xrf,ni,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,p,55,55,"1:10, 3:45",3.0,0.0,4956.666666666667,4956.666666666667,30.550504633038933,23.09401076758504,68.06859285554046,2.6186146828319083,1.750032245597501,4.622813941783406,6.34658740101883,8.058900753190866,45,81.81818181818183,4.444444444444445,0.0,45,81.81818181818183,13.333333333333334,
xrf,pb,35,35,"1:19, 2:7, 3:9",1.0,0.0,9.0,9.0,0.0,0.0,0.7803300858899107,0.0,0.0,20.050762722761053,20.926842992827595,23.45485468582855,16,45.714285714285715,43.75,25.0,4,11.428571428571429,50.0,
xrf,pr,49,49,"1:31, 2:14, 3:4",1.0,0.0,147.0,147.0,10.334225345281965,4.065863991822648,24.748737341529164,15.153059870816115,5.191109817287176,24.51945684364032,32.35146865361274,35.6211703853629,18,36.734693877551024,61.111111111111114,44.44444444444444,4,8.16326530612245,0.0,
xrf,rb,52,52,"1:10, 3:42",3.0,0.0,150.66666666666666,150.66666666666666,0.5773502691896258,0.5773502691896258,1.0,2.7499798608074415,1.7669455730233476,5.579334391071656,11.170423612233687,12.37179148263484,42,80.76923076923077,14.285714285714285,2.380952380952381,37,71.15384615384616,75.67567567567568,
xrf,s,55,55,"1:10, 3:45",3.0,0.0,5290.0,5290.0,55.07570547286102,25.16611478423584,94.51631252505216,3.221912462646097,2.282142491969379,6.579348139372512,9.20703553495374,12.606945540393074,45,81.81818181818183,8.88888888888889,2.2222222222222223,45,81.81818181818183,6.666666666666667,
xrf,sb,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,se,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,si,55,55,"1:10, 3:45",3.0,252.66666666666663,157666.66666666666,157414.0,111.50485789118488,55.48873759602033,290.9180869821148,4.015515449845109,2.564102564102564,8.210036726337332,11.970431120643461,16.462781015463843,45,81.81818181818183,20.0,4.444444444444445,45,81.81818181818183,6.666666666666667,
xrf,sn,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,sr,54,54,"1:11, 3:43",3.0,3.0,216.3333333333333,213.3333333333333,1.0,0.5773502691896258,1.5275252316519465,2.857142857142857,1.8008471212511723,6.090359757077103,9.619269058477418,10.761639208791921,43,79.62962962962963,9.30232558139535,4.651162790697675,39,72.22222222222221,56.41025641025641,
xrf,th,55,55,"1:10, 3:45",3.0,8.0,97.0,89.0,2.6457513110645907,2.0,3.785938897200183,5.76323239333645,4.008714107673622,7.418192893071502,9.004431695631975,10.561831236117273,45,81.81818181818183,8.88888888888889,0.0,45,81.81818181818183,22.22222222222222,
xrf,ti,44,44,"1:24, 2:13, 3:7",1.0,0.0,2370.0,2370.0,23.33452377915607,11.667261889578032,50.97014456528523,10.110534057270677,5.098345858394136,15.392679963419807,20.26606531247821,23.67907878284988,20,45.45454545454545,50.0,10.0,7,15.909090909090908,0.0,
xrf,u,55,55,"1:10, 3:45",3.0,3.0,25.33333333333333,22.33333333333333,1.0,0.5773502691896257,1.5275252316519468,6.25,4.5580284409707295,10.188534162169868,12.97437586901827,15.093990585190971,45,81.81818181818183,26.666666666666668,0.0,42,76.36363636363637,54.761904761904766,
xrf,v,10,10,1:10,1.0,0.0,0.0,0.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,w,12,12,1:12,1.0,0.0,117.0,117.0,,,,,,,,,0,0.0,,,0,0.0,,
xrf,y,12,12,"1:10, 3:2",1.0,0.0,8.333333333333334,8.333333333333334,1.5773502691896257,1.3660254037844388,1.7886751345948129,19.428203230275507,16.642304845413264,22.214101615137753,23.8856406460551,24.44282032302755,2,16.666666666666664,100.0,50.0,2,16.666666666666664,50.0,
xrf,zn,55,55,"1:10, 3:45",3.0,6.0,1130.0,1124.0,1.1547005383792517,1.0,2.0816659994661326,5.094267081084933,2.98629449580841,9.20711516496433,13.071693083816129,14.374131952365046,45,81.81818181818183,20.0,2.2222222222222223,41,74.54545454545455,29.268292682926827,
xrf,zr,12,12,"1:11, 3:1",1.0,0.0,17.0,17.0,1.0,1.0,1.0,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,1,8.333333333333332,100.0,0.0,1,8.333333333333332,0.0,
