analysis_type,parameter,n_replicate_groups,n_points_usable_for_correlation,n_points_usable_for_RSD_correlation,n_points_usable_for_loglog,spearman_mean_vs_SD,spearman_mean_vs_SD_pvalue,spearman_mean_vs_RSD,spearman_mean_vs_RSD_pvalue,loglog_slope,loglog_r_squared,precision_model_category
proximate,volatile solids,115.0,115.0,115.0,115.0,-0.28916313881365596,0.0017226735866838593,-0.8020279334017203,4.751462972030217e-27,-0.09126366084014237,0.006417509305508473,approx_constant_absolute_SD
ultimate,adf-r,13.0,4.0,4.0,3.0,,,,,,,insufficient_data
ultimate,carbon,1.0,1.0,1.0,0.0,,,,,,,insufficient_data
ultimate,cf,13.0,4.0,4.0,3.0,,,,,,,insufficient_data
ultimate,dm,13.0,1.0,1.0,0.0,,,,,,,insufficient_data
ultimate,nitrogen,14.0,5.0,5.0,2.0,0.3354101966249684,0.5810906728217107,0.22360679774997894,0.7176856442107861,,,insufficient_data
ultimate,oxygen,1.0,1.0,1.0,0.0,,,,,,,insufficient_data
ultimate,sulfur,2.0,1.0,1.0,0.0,,,,,,,insufficient_data
xrd,crystallinity,10.0,9.0,9.0,9.0,-0.5499999999999999,0.12497678418833194,-0.5499999999999999,0.12497678418833194,-6.4653599045877685,0.2136028707375347,concentration_dependent_mixed
xrf,ag,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,al,36.0,21.0,21.0,21.0,0.49350649350649345,0.02299628542974775,-0.4116883116883117,0.06369892951455675,0.5873610360797336,0.32093870253182377,concentration_dependent_mixed
xrf,as,11.0,1.0,1.0,1.0,,,,,,,insufficient_data
xrf,ba,55.0,37.0,37.0,36.0,0.7016253608350826,1.311456581011314e-06,0.4490571018978696,0.005304149430017271,1.7592962195993556,0.7876058145051109,concentration_dependent_mixed
xrf,bi,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,ca,55.0,45.0,45.0,45.0,0.7473150226316095,3.700679940121915e-09,0.0986198491921416,0.519238503615717,0.895415854768654,0.49278000822170026,approx_constant_relative_RSD
xrf,cd,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,ce,45.0,23.0,23.0,21.0,0.5341415794892878,0.008654676951125312,0.44213649851632053,0.034649695566671045,1.8669780057671683,0.774529069865607,concentration_dependent_mixed
xrf,co,26.0,1.0,1.0,0.0,,,,,,,insufficient_data
xrf,cr,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,cu,55.0,45.0,45.0,44.0,0.27941666590953,0.06304785362640335,-0.5048601493862587,0.00040508152506975184,0.3097929957609744,0.0862510883192661,unclear
xrf,fe,55.0,45.0,45.0,45.0,0.6242629866030286,4.596245043863539e-06,-0.33281728665243787,0.025490303889031413,0.6060618983484164,0.35884282736556383,concentration_dependent_mixed
xrf,hg,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,k,55.0,45.0,45.0,45.0,0.26082823534026905,0.08353227295033196,-0.44085773600121025,0.0024369055820757835,0.2474863194589015,0.03196801854844135,approx_constant_absolute_SD
xrf,la,48.0,18.0,18.0,18.0,0.40635547482929935,0.09425626332197021,0.21900838132664677,0.3825880001627423,1.8827469715818086,0.8108837946309251,concentration_dependent_mixed
xrf,mg,37.0,17.0,17.0,17.0,0.4387254901960785,0.07811671275305948,-0.18627450980392157,0.4740951399440866,0.78409756589475,0.20717994489816718,approx_constant_relative_RSD
xrf,mn,55.0,45.0,45.0,45.0,0.5595677433937646,6.436978312416085e-05,-0.3942288696874626,0.007370321655753198,0.40771359089621695,0.2130524383628299,concentration_dependent_mixed
xrf,mo,40.0,21.0,21.0,16.0,0.48027355173884867,0.027553284913184834,0.20990625290040993,0.3611146508127945,0.07228177210931752,0.004727866266020129,unclear
xrf,nb,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,nd,32.0,3.0,3.0,3.0,,,,,,,insufficient_data
xrf,ni,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,p,55.0,45.0,45.0,45.0,0.6617686049584928,7.425080091176731e-07,-0.19986824769433462,0.18805477947263247,0.7233712367087679,0.3594314639821671,approx_constant_relative_RSD
xrf,pb,35.0,16.0,16.0,7.0,0.33534810087388095,0.20417718817685876,0.14355907914271107,0.595823241571185,0.6312491939907628,0.31156420730783807,concentration_dependent_mixed
xrf,pr,49.0,18.0,18.0,18.0,0.6737449871027592,0.00217257429558609,0.5950416398308893,0.009187349281930731,3.2294310978832494,0.4761634281885926,concentration_dependent_mixed
xrf,rb,52.0,42.0,42.0,37.0,0.352536702643038,0.022032082251814793,-0.423913182942142,0.005147890582641196,0.04857255006022294,0.009720768834118126,unclear
xrf,s,55.0,45.0,45.0,45.0,0.639499267446609,2.257361333069289e-06,-0.3623188405797101,0.014450935142464207,0.6620702458068867,0.34059727094260306,concentration_dependent_mixed
xrf,sb,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,se,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,si,55.0,45.0,45.0,45.0,0.5587615283267456,6.629537592972837e-05,-0.4275362318840579,0.0033965876443079208,0.6925375045920807,0.5222721270799234,concentration_dependent_mixed
xrf,sn,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,sr,54.0,43.0,43.0,39.0,0.44449830836521803,0.002824324845697428,-0.6142717113382692,1.178872588290805e-05,0.2943651972824521,0.2577527069658524,concentration_dependent_mixed
xrf,th,55.0,45.0,45.0,45.0,0.35413534913521133,0.01700134865363172,-0.30982899766441463,0.038341884773002016,0.5776060700923461,0.12158028834877542,unclear
xrf,ti,44.0,20.0,20.0,20.0,0.6130124540320586,0.004053692495664704,0.35187969924812035,0.12814195208704127,1.9024628887548078,0.44903702491429875,concentration_dependent_mixed
xrf,u,55.0,45.0,45.0,42.0,0.4443485182864745,0.002228911237102733,-0.0003304916360946434,0.9982808661262307,0.9634553835392714,0.25523651111066875,approx_constant_relative_RSD
xrf,v,10.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,w,12.0,0.0,0.0,0.0,,,,,,,insufficient_data
xrf,y,12.0,2.0,2.0,2.0,,,,,,,insufficient_data
xrf,zn,55.0,45.0,45.0,41.0,0.4916331506755802,0.0006042255208305633,-0.4073683596399581,0.005479467707742032,0.5286803383541556,0.4381016907211201,concentration_dependent_mixed
xrf,zr,12.0,1.0,1.0,1.0,,,,,,,insufficient_data
