analysis_type,parameter,n_replicate_groups,n_RSD_defined,percent_RSD_defined,n_Dixon_applicable,percent_Dixon_applicable,n_3xSD_applicable,percent_3xSD_applicable,n_RSD_gt_10,percent_RSD_gt_10,n_RSD_gt_20,percent_RSD_gt_20,n_Dixon_flagged,percent_Dixon_flagged,n_3xSD_flagged,percent_3xSD_flagged,pooled_SD
xrf,ag,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,al,36.0,21.0,58.333333333333336,17.0,47.22222222222222,21.0,58.333333333333336,10.0,47.61904761904761,2.0,9.523809523809524,0.0,0.0,0.0,0.0,283.8266319737171
xrf,as,11.0,1.0,9.090909090909092,1.0,9.090909090909092,1.0,9.090909090909092,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.5773502691896258
xrf,ba,55.0,37.0,67.27272727272727,26.0,47.27272727272727,37.0,67.27272727272727,29.0,78.37837837837837,10.0,27.027027027027028,4.0,15.384615384615385,1.0,2.7027027027027026,209.7415580280197
xrf,bi,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,ca,55.0,45.0,81.81818181818183,45.0,81.81818181818183,45.0,81.81818181818183,3.0,6.666666666666667,1.0,2.2222222222222223,8.0,17.77777777777778,3.0,6.666666666666667,578.0406496022513
xrf,cd,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,ce,45.0,23.0,51.11111111111111,9.0,20.0,23.0,51.11111111111111,15.0,65.21739130434783,9.0,39.130434782608695,2.0,22.22222222222222,1.0,4.3478260869565215,562.3216708062508
xrf,co,26.0,1.0,3.8461538461538463,0.0,0.0,1.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
xrf,cr,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,cu,55.0,45.0,81.81818181818183,44.0,80.0,45.0,81.81818181818183,24.0,53.333333333333336,7.0,15.555555555555555,19.0,43.18181818181818,0.0,0.0,2.336505779847176
xrf,fe,55.0,45.0,81.81818181818183,44.0,80.0,45.0,81.81818181818183,4.0,8.88888888888889,0.0,0.0,4.0,9.090909090909092,1.0,2.2222222222222223,40.09389728189237
xrf,hg,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,k,55.0,45.0,81.81818181818183,45.0,81.81818181818183,45.0,81.81818181818183,3.0,6.666666666666667,1.0,2.2222222222222223,15.0,33.33333333333333,1.0,2.2222222222222223,1037.1528120559458
xrf,la,48.0,18.0,37.5,3.0,6.25,18.0,37.5,7.0,38.88888888888889,3.0,16.666666666666664,2.0,66.66666666666666,1.0,5.555555555555555,526.8835975780851
xrf,mg,37.0,17.0,45.94594594594595,14.0,37.83783783783784,17.0,45.94594594594595,15.0,88.23529411764706,5.0,29.411764705882355,1.0,7.142857142857142,0.0,0.0,1536.2520724501976
xrf,mn,55.0,45.0,81.81818181818183,45.0,81.81818181818183,45.0,81.81818181818183,30.0,66.66666666666666,11.0,24.444444444444443,3.0,6.666666666666667,0.0,0.0,10.074904649856677
xrf,mo,40.0,21.0,52.5,8.0,20.0,21.0,52.5,13.0,61.904761904761905,9.0,42.857142857142854,3.0,37.5,0.0,0.0,1.518977177796515
xrf,nb,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,nd,32.0,3.0,9.375,1.0,3.125,3.0,9.375,2.0,66.66666666666666,2.0,66.66666666666666,0.0,0.0,0.0,0.0,22.425803590209796
xrf,ni,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,p,55.0,45.0,81.81818181818183,45.0,81.81818181818183,45.0,81.81818181818183,2.0,4.444444444444445,0.0,0.0,6.0,13.333333333333334,1.0,2.2222222222222223,74.87109910694167
xrf,pb,35.0,16.0,45.714285714285715,4.0,11.428571428571429,16.0,45.714285714285715,7.0,43.75,4.0,25.0,2.0,50.0,0.0,0.0,0.7527726527090811
xrf,pr,49.0,18.0,36.734693877551024,4.0,8.16326530612245,18.0,36.734693877551024,11.0,61.111111111111114,8.0,44.44444444444444,0.0,0.0,0.0,0.0,21.56737154016491
xrf,rb,52.0,42.0,80.76923076923077,37.0,71.15384615384616,42.0,80.76923076923077,6.0,14.285714285714285,1.0,2.380952380952381,28.0,75.67567567567568,1.0,2.380952380952381,0.951189731211342
xrf,s,55.0,45.0,81.81818181818183,45.0,81.81818181818183,45.0,81.81818181818183,4.0,8.88888888888889,1.0,2.2222222222222223,3.0,6.666666666666667,1.0,2.2222222222222223,292.0061262675456
xrf,sb,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,se,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,si,55.0,45.0,81.81818181818183,45.0,81.81818181818183,45.0,81.81818181818183,9.0,20.0,2.0,4.444444444444445,3.0,6.666666666666667,2.0,4.444444444444445,1110.7221708153397
xrf,sn,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,sr,54.0,43.0,79.62962962962963,39.0,72.22222222222221,43.0,79.62962962962963,4.0,9.30232558139535,2.0,4.651162790697675,22.0,56.41025641025641,2.0,4.651162790697675,1.5872554441428892
xrf,th,55.0,45.0,81.81818181818183,45.0,81.81818181818183,45.0,81.81818181818183,4.0,8.88888888888889,0.0,0.0,10.0,22.22222222222222,0.0,0.0,3.055050463303893
xrf,ti,44.0,20.0,45.45454545454545,7.0,15.909090909090908,20.0,45.45454545454545,10.0,50.0,2.0,10.0,0.0,0.0,0.0,0.0,41.813592804372554
xrf,u,55.0,45.0,81.81818181818183,42.0,76.36363636363637,45.0,81.81818181818183,12.0,26.666666666666668,0.0,0.0,23.0,54.761904761904766,0.0,0.0,1.3931047127695537
xrf,v,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,w,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,
xrf,y,12.0,2.0,16.666666666666664,2.0,16.666666666666664,2.0,16.666666666666664,2.0,100.0,1.0,50.0,1.0,50.0,0.0,0.0,1.632993161855452
xrf,zn,55.0,45.0,81.81818181818183,41.0,74.54545454545455,45.0,81.81818181818183,9.0,20.0,1.0,2.2222222222222223,12.0,29.268292682926827,1.0,2.2222222222222223,3.5108298058900447
xrf,zr,12.0,1.0,8.333333333333332,1.0,8.333333333333332,1.0,8.333333333333332,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
