replicate_group_id,sample_id,resource_id,resource_type,analysis_type,parameter,lab,method,protocol_version,experiment_id,n_replicates,mean,standard_deviation,RSD_percent,existing_QC_status,rsd_gt_20,dixon_flag_0_05,flag_3xSD,dixon_candidate_record_id,flag_category
175,135,34,grape stem,compositional,glucose,rigging,oven dry + knife mill (2mm),,27.0,3,18.606666666666666,5.585743758295158,30.02012052111336,pass,True,False,True,(87)49e8,RSD_and_3xSD
176,135,34,grape stem,compositional,xylose,rigging,oven dry + knife mill (2mm),,27.0,3,5.503333333333333,1.6471288150394714,29.92965745074752,pass,True,False,False,(87)50d0,RSD_only
178,135,34,grape stem,compositional,glucan,rigging,oven dry + knife mill (2mm),,27.0,3,16.75,5.02930412681516,30.02569627949349,pass,True,False,True,(87)a5ef,RSD_and_3xSD
191,143,31,almond shells,compositional,xylan,tiny,knife mill (2mm),,37.0,3,19.03333333333333,0.0115470053837922,0.0606672787239523,pass,False,True,False,(a2)6e8b,Dixon_only
193,143,31,almond shells,compositional,xylose,tiny,knife mill (2mm),,37.0,3,21.63,0.0173205080756894,0.0800763202759566,pass,False,True,False,(a2)8f0a,Dixon_only
199,161,25,almond hulls,compositional,xylan,humorous,knife mill (2mm),,30.0,3,6.97,1.548805991723947,22.221032879827074,pass,True,False,False,(a8)aa72,RSD_only
200,161,25,almond hulls,compositional,glucose,humorous,knife mill (2mm),,30.0,3,23.23333333333333,4.965252595118735,21.37124502920546,pass,True,True,False,(a8)29ea,RSD_and_Dixon
202,161,25,almond hulls,compositional,xylose,humorous,knife mill (2mm),,30.0,3,7.923333333333332,1.7600094696714934,22.212992886051666,pass,True,False,False,(a8)bf74,RSD_only
203,161,25,almond hulls,compositional,glucan,humorous,knife mill (2mm),,30.0,3,20.913333333333338,4.47160299370744,21.38158906777545,pass,True,True,False,(a8)a893,RSD_and_Dixon
225,79,5,alfalfa,compositional,glucose,possessive,knife mill (2mm),,34.0,3,31.49666666666667,0.9555277773740198,3.0337425464303727,pass,False,True,False,(b8)3b4b,Dixon_only
227,79,5,alfalfa,compositional,glucan,possessive,knife mill (2mm),,34.0,3,28.346666666666668,0.8602519010925415,3.034755060298241,pass,False,True,False,(b8)da13,Dixon_only
234,124,26,spent oak chips,compositional,glucan,rigging,oven dry + knife mill (2mm),,31.0,3,36.27333333333333,8.66197052253893,23.87972024225031,,True,False,True,(bc)3853,RSD_and_3xSD
235,124,26,spent oak chips,compositional,lignin,rigging,oven dry + knife mill (2mm),,31.0,3,43.11666666666667,0.3666515148384552,0.8503707340667691,,False,True,False,(bc)e785,Dixon_only
236,124,26,spent oak chips,compositional,xylan,rigging,oven dry + knife mill (2mm),,31.0,3,4.503333333333333,1.0406888744160443,23.10930143040809,,True,False,False,(bc)a1d4,RSD_only
237,124,26,spent oak chips,compositional,xylose,rigging,oven dry + knife mill (2mm),,31.0,3,5.116666666666667,1.1853410198475938,23.16627400353603,,True,False,False,(bc)b2b8,RSD_only
238,124,26,spent oak chips,compositional,glucose,rigging,oven dry + knife mill (2mm),,31.0,3,40.3,9.622245060275691,23.876538611105936,,True,False,True,(bc)b1c1,RSD_and_3xSD
240,122,26,spent oak chips,compositional,glucan,rigging,oven dry + knife mill (2mm),,31.0,3,34.35333333333333,8.530031262154512,24.83028700413695,,True,False,True,(be)61e9,RSD_and_3xSD
241,122,26,spent oak chips,compositional,glucose,rigging,oven dry + knife mill (2mm),,31.0,3,38.17333333333333,9.474646871167986,24.82006689967164,,True,False,True,(be)d020,RSD_and_3xSD
242,122,26,spent oak chips,compositional,xylose,rigging,oven dry + knife mill (2mm),,31.0,3,19.933333333333334,4.845217573374114,24.30711157211094,,True,True,True,(be)8eeb,all_three
243,122,26,spent oak chips,compositional,xylan,rigging,oven dry + knife mill (2mm),,31.0,3,17.54,4.262018301227718,24.298850064012075,,True,True,True,(be)a222,all_three
270,53,35,almond branches,compositional,xylan,vibrant,knife mill (2mm),,36.0,3,14.796666666666669,0.7765522090196725,5.248156402475821,pass,False,True,False,(c7)0c90,Dixon_only
273,53,35,almond branches,compositional,xylose,vibrant,knife mill (2mm),,36.0,3,16.816666666666666,0.880473357537485,5.235718677130734,pass,False,True,False,(c7)bffa,Dixon_only
281,97,37,tomato pomace,compositional,lignin,gossamer,oven dry + knife mill (2mm),,29.0,3,48.66666666666666,1.4670151101244089,3.014414609844676,,False,False,True,(d0)0896,3xSD_only
294,131,11,pistachio stems & leaves,compositional,arabinose,tripod,oven dry + knife mill (2mm),,33.0,3,1.6366666666666667,0.0577350269189625,3.527598386087321,,False,True,False,(d4)3d93,Dixon_only
296,131,11,pistachio stems & leaves,compositional,arabinan,tripod,oven dry + knife mill (2mm),,33.0,3,1.4399999999999995,0.0519615242270663,3.608439182435165,,False,True,False,(d4)96b0,Dixon_only
300,82,20,wheat straw,compositional,xylan,wardrobe,knife mill (2mm),,32.0,3,20.58666666666667,0.1327905619136121,0.6450318745803696,pass,False,True,False,(da)ab96,Dixon_only
301,153,3,pistachio shells,compositional,glucose,tripod,knife mill (2mm),,28.0,3,24.22,0.770778826901725,3.182406386877477,pass,False,True,False,(da)a0f5,Dixon_only
302,153,3,pistachio shells,compositional,glucan,tripod,knife mill (2mm),,28.0,3,21.8,0.6928203230275526,3.178074876273177,pass,False,True,False,(da)11ef,Dixon_only
318,58,13,walnut hulls,compositional,lignin,energetic,oven dry + knife mill (2mm),,35.0,3,35.10333333333333,0.7765522090196739,2.212189371435782,pass,False,True,False,(e7)6d58,Dixon_only
320,78,5,alfalfa,compositional,lignin,possessive,knife mill (2mm),,34.0,3,20.76,0.1732050807568881,0.8343211982509061,pass,False,True,False,(ed)fbeb,Dixon_only
334,83,55,peach seeds,compositional,arabinan,rushes,oven dry + knife mill (2mm),,33.0,3,0.0266666666666666,0.04618802153517,173.20508075688772,,True,True,False,(f6)1aa2,RSD_and_Dixon
336,83,55,peach seeds,compositional,arabinose,rushes,oven dry + knife mill (2mm),,33.0,3,0.03,0.0519615242270663,173.20508075688775,,True,True,False,(f6)6013,RSD_and_Dixon
389,34,23,grape pomace,proximate,ash,ebony,as is,,11.0,3,4.033333333333333,0.1674315780649914,4.15119615037169,pass,False,True,False,(13)ade3,Dixon_only
395,88,30,peach pomace,proximate,ash,rushes,as is,,10.0,3,0.3166666666666666,0.0115470053837925,3.646422752776588,pass,False,True,False,(14)bd40,Dixon_only
399,160,19,walnut shells,proximate,moisture,cutaway,knife mill (2mm),,12.0,3,9.866666666666667,0.0115470053837932,0.1170304599708779,pass,False,True,False,(15)6ecb,Dixon_only
402,160,19,walnut shells,proximate,total solids,cutaway,knife mill (2mm),,12.0,3,90.13333333333333,0.0115470053837902,0.0128110266831992,pass,False,True,False,(15)ea15,Dixon_only
403,179,14,olive stems / leaves,proximate,total solids,excellent,as is,,21.0,3,50.17,3.1772787098396003,6.333025134222843,pass,False,False,True,(15)e432,3xSD_only
406,160,19,walnut shells,proximate,volatile solids,cutaway,knife mill (2mm),,12.0,3,89.00999999999999,0.0866025403784471,0.0972952930889194,pass,False,True,False,(15)77aa,Dixon_only
407,179,14,olive stems / leaves,proximate,moisture,excellent,as is,,21.0,3,49.830000000000005,3.1772787098396003,6.376236624201486,pass,False,False,True,(15)9820,3xSD_only
423,89,36,peach screening waste,proximate,ash,rushes,as is,,10.0,3,0.2333333333333333,0.023094010767585,9.897433186107872,pass,False,True,False,(23)5b30,Dixon_only
433,59,37,tomato pomace,proximate,volatile solids,oakleaf,oven dry + knife mill (2mm),,5.0,3,0.99,2.946183972531247,297.5943406597219,fail,True,False,False,(26)1b74,RSD_only
435,59,37,tomato pomace,proximate,total solids,oakleaf,oven dry + knife mill (2mm),,5.0,3,96.31333333333332,2.963517054672262,3.076954095665808,fail,False,False,True,(26)b8f7,3xSD_only
437,144,25,almond hulls,proximate,ash,tiny,knife mill (2mm),,6.0,3,9.75,3.1715453646448126,32.528670406613465,pass,True,False,True,(27)13cb,RSD_and_3xSD
472,47,31,almond shells,proximate,ash,vibrant,knife mill (2mm),,20.0,3,4.416666666666667,0.0808290376865474,1.8300914193180544,pass,False,True,False,(37)94ef,Dixon_only
477,77,5,alfalfa,proximate,volatile solids,possessive,knife mill (2mm),,15.0,3,83.41333333333334,0.2829016319029137,0.3391563681700531,pass,False,True,False,(3c)8756,Dixon_only
490,55,22,walnut tree sticks,proximate,ash,energetic,oven dry + knife mill (2mm),,5.0,3,5.613333333333333,0.239652526240249,4.269344291690897,fail,False,True,False,(4d)52a0,Dixon_only
499,314,125,#n/a,proximate,moisture,,#n/a,,13.0,3,54.64333333333334,2.995402032003941,5.481733725377797,pass,False,False,True,(53)7399,3xSD_only
510,37,33,sweet potato culls,proximate,volatile solids,tackle,oven dry,,23.0,3,82.60333333333334,0.0057735026918992,0.0069894306427091,fail,False,True,False,(56)955f,Dixon_only
516,69,29,corn stover stalks,proximate,volatile solids,caterpillar,knife mill (2mm),,4.0,3,82.33666666666666,0.2136195996001559,0.2594464996560738,pass,False,True,False,(5b)ace1,Dixon_only
517,80,20,wheat straw,proximate,total solids,possessive,knife mill (2mm),,24.0,3,93.37333333333332,0.0230940107675886,0.0247329831153669,pass,False,True,False,(62)0751,Dixon_only
519,80,20,wheat straw,proximate,moisture,possessive,knife mill (2mm),,24.0,3,6.626666666666666,0.023094010767585,0.3485011685249253,pass,False,True,False,(62)0d6c,Dixon_only
538,223,22,walnut tree sticks,proximate,ash,badger,chipper (1in) + knife mill (2mm),,19.0,3,2.7466666666666666,0.1270170592217175,4.6244074959363175,pass,False,True,False,(6b)3fbc,Dixon_only
541,61,37,tomato pomace,proximate,volatile solids,riverstone,oven dry + knife mill (2mm),,5.0,3,3.48,0.7279423054061358,20.91788233925677,fail,True,False,False,(6d)0433,RSD_only
560,177,23,grape pomace,proximate,volatile solids,boatswain,as is,,21.0,3,41.11333333333333,0.7044383105235938,1.7134059766262215,pass,False,True,False,(75)b527,Dixon_only
566,150,35,almond branches,proximate,moisture,capstan,knife mill (2mm),,6.0,3,10.916666666666666,0.0635085296108585,0.5817575231529024,pass,False,True,False,(7e)1c60,Dixon_only
575,150,35,almond branches,proximate,total solids,capstan,knife mill (2mm),,6.0,3,89.08333333333333,0.0635085296108585,0.0712911464294015,pass,False,True,False,(7e)e58c,Dixon_only
581,95,37,tomato pomace,proximate,ash,oakleaf,oven dry + knife mill (2mm),,7.0,3,3.6666666666666665,0.0115470053837925,0.3149183286488871,fail,False,True,False,(83)0fe6,Dixon_only
592,146,25,almond hulls,proximate,volatile solids,humorous,knife mill (2mm),,6.0,3,79.22333333333331,0.3521836642056714,0.4445453749387867,pass,False,True,False,(86)7b7d,Dixon_only
607,165,14,olive stems / leaves,proximate,ash,excellent,oven dry + knife mill (2mm),,3.0,3,3.41,0.2511971337416095,7.366484860457759,fail,False,True,False,(a0)f05c,Dixon_only
609,143,31,almond shells,proximate,total solids,tiny,knife mill (2mm),,6.0,3,88.73,0.1039230484541283,0.1171227864917484,pass,False,True,False,(a2)1666,Dixon_only
610,143,31,almond shells,proximate,moisture,tiny,knife mill (2mm),,6.0,3,11.27,0.1039230484541324,0.9221211042957628,pass,False,True,False,(a2)4a98,Dixon_only
611,143,31,almond shells,proximate,ash,tiny,knife mill (2mm),,6.0,3,4.573333333333333,0.4389001405027497,9.596941847727765,pass,False,True,False,(a2)83ca,Dixon_only
622,161,25,almond hulls,proximate,volatile solids,humorous,knife mill (2mm),,6.0,3,76.29333333333334,0.4792007234273884,0.6281030104343608,pass,False,True,False,(a8)5bb6,Dixon_only
633,244,95,olive prunings,proximate,moisture,excellent,chipper (1in) + freeze,,1.0,3,20.62333333333333,0.2800595174839326,1.3579740624726002,pass,False,True,False,(ab)938c,Dixon_only
636,244,95,olive prunings,proximate,total solids,excellent,chipper (1in) + freeze,,1.0,3,79.37666666666667,0.2800595174839367,0.3528234798017093,pass,False,True,False,(ab)e228,Dixon_only
642,149,25,almond hulls,proximate,moisture,capstan,knife mill (2mm),,6.0,3,14.223333333333334,0.0288675134594817,0.2029588478519922,pass,False,True,False,(b3)fc9e,Dixon_only
644,149,25,almond hulls,proximate,total solids,capstan,knife mill (2mm),,6.0,3,85.77666666666666,0.0288675134594796,0.0336542728708036,pass,False,True,False,(b3)71d8,Dixon_only
665,154,25,almond hulls,proximate,moisture,capstan,knife mill (2mm),,6.0,3,11.246666666666668,0.0115470053837922,0.1026704687355566,pass,False,True,False,(b7)022b,Dixon_only
666,154,25,almond hulls,proximate,total solids,capstan,knife mill (2mm),,6.0,3,88.75333333333333,0.0115470053837984,0.0130102216447815,pass,False,True,False,(b7)d205,Dixon_only
684,156,4,corn stover whole,proximate,total solids,possessive,knife mill (2mm),,12.0,3,92.04,0.05196152422706,0.0564553718242721,pass,False,True,False,(be)28ae,Dixon_only
685,156,4,corn stover whole,proximate,moisture,possessive,knife mill (2mm),,12.0,3,7.96,0.0519615242270662,0.6527829676767115,pass,False,True,False,(be)b18d,Dixon_only
697,54,12,almond woodchips,proximate,volatile solids,popular,knife mill (2mm),,4.0,3,89.32666666666665,0.0057735026918992,0.006463358487834,pass,False,True,False,(c1)565f,Dixon_only
703,29,6,unused oak stick,proximate,ash,maplewood,knife mill (2mm),,11.0,3,0.0766666666666666,0.0808290376865476,105.42917959114904,pass,True,True,False,(c4)2c69,RSD_and_Dixon
706,29,6,unused oak stick,proximate,ash,maplewood,knife mill (2mm),,5.0,3,0.16,0.0435889894354067,27.2431183971292,pass,True,False,False,(c4)3d57,RSD_only
713,27,26,spent oak chips,proximate,ash,maplewood,knife mill (2mm),,11.0,3,0.5966666666666667,0.0057735026918962,0.9676261494798204,pass,False,True,False,(c5)2aba,Dixon_only
716,27,26,spent oak chips,proximate,volatile solids,maplewood,knife mill (2mm),,5.0,3,3.526666666666667,1.2816135663035613,36.34064932807829,pass,True,False,False,(c5)92ea,RSD_only
727,157,10,cotton stem mix,proximate,ash,schooner,knife mill (2mm),,12.0,3,7.793333333333334,0.0461880215351701,0.592660669826819,pass,False,True,False,(ce)6f27,Dixon_only
735,120,23,grape pomace,proximate,ash,rigging,as is,,13.0,3,2.0500000000000003,0.6533758489567852,31.8719926320383,pass,True,False,False,(d0)618a,RSD_only
756,153,3,pistachio shells,proximate,ash,tripod,knife mill (2mm),,12.0,3,0.6933333333333334,0.0577350269189625,8.327167344081138,pass,False,True,False,(da)8a0c,Dixon_only
757,82,20,wheat straw,proximate,ash,wardrobe,knife mill (2mm),,24.0,3,10.433333333333332,1.483924975641738,14.222923089217938,pass,False,True,False,(da)fa91,Dixon_only
769,58,13,walnut hulls,proximate,ash,energetic,oven dry + knife mill (2mm),,5.0,3,38.4,3.721007927967904,9.690124812416416,fail,False,False,True,(e7)ae0c,3xSD_only
770,58,13,walnut hulls,proximate,total solids,energetic,oven dry + knife mill (2mm),,5.0,3,33.943333333333335,5.657741009743496,16.66819505963909,fail,False,False,True,(e7)86e3,3xSD_only
773,22,1,spent yeast,proximate,total solids,maplewood,oven dry,,5.0,3,58.35666666666666,4.125243427160791,7.069018267825655,pass,False,True,True,(e8)0406,Dixon_and_3xSD
774,22,1,spent yeast,proximate,volatile solids,maplewood,oven dry,,5.0,3,17.646666666666665,3.270693096781374,18.53433942263718,pass,False,True,True,(e8)7f66,Dixon_and_3xSD
786,78,5,alfalfa,proximate,ash,possessive,knife mill (2mm),,15.0,3,11.026666666666666,7.1597928275428,64.93161572741354,"fail,pass",True,False,True,(ed)c23d,RSD_and_3xSD
788,78,5,alfalfa,proximate,volatile solids,possessive,knife mill (2mm),,15.0,3,78.88666666666667,6.649829571750944,8.429598882469715,"fail,pass",False,False,True,(ed)cdf5,3xSD_only
790,103,37,tomato pomace,proximate,ash,oakleaf,as is,,22.0,3,1.1266666666666667,0.0115470053837923,1.02488213465613,pass,False,True,False,(f1)cd95,Dixon_only
793,180,35,almond branches,proximate,total solids,tiny,as is,,2.0,3,85.89333333333333,3.08170948230578,3.587833144565872,"pass,provisional",False,False,True,(f3)161b,3xSD_only
794,180,35,almond branches,proximate,moisture,tiny,as is,,2.0,3,14.106666666666667,3.081709482305776,21.84576665150597,"pass,provisional",True,False,True,(f3)f33d,RSD_and_3xSD
795,180,35,almond branches,proximate,volatile solids,tiny,as is,,2.0,3,20.13,4.471319715699158,22.212219153994823,"pass,provisional",True,False,True,(f3)e4ed,RSD_and_3xSD
796,180,35,almond branches,proximate,ash,tiny,as is,,2.0,3,65.76,7.538441483489807,11.4635667328008,"pass,provisional",False,False,True,(f3)889a,3xSD_only
909,148,31,almond shells,xrf,k,capstan,knife mill (2mm),,47.0,3,21800.0,1212.4355652982142,5.561631033478047,pass,False,True,False,(04)7479,Dixon_only
912,148,31,almond shells,xrf,cu,capstan,knife mill (2mm),,47.0,3,10.333333333333334,1.1547005383792517,11.174521339154047,pass,False,True,False,(04)0a4a,Dixon_only
913,148,31,almond shells,xrf,pr,capstan,knife mill (2mm),,47.0,2,111.5,50.20458146424488,45.02653046120616,pass,True,,False,,RSD_only
915,148,31,almond shells,xrf,p,capstan,knife mill (2mm),,47.0,3,764.6666666666666,14.433756729740644,1.887588064046292,pass,False,True,False,(04)b583,Dixon_only
916,148,31,almond shells,xrf,sr,capstan,knife mill (2mm),,47.0,3,21.666666666666668,1.1547005383792517,5.32938710021193,pass,False,True,False,(04)2bcb,Dixon_only
920,148,31,almond shells,xrf,ce,capstan,knife mill (2mm),,47.0,2,63.5,20.50609665440988,32.29306559749587,pass,True,,False,,RSD_only
922,148,31,almond shells,xrf,rb,capstan,knife mill (2mm),,47.0,3,13.333333333333334,1.1547005383792517,8.660254037844387,pass,False,True,False,(04)bc1d,Dixon_only
926,148,31,almond shells,xrf,mn,capstan,knife mill (2mm),,47.0,3,37.333333333333336,11.846237095944574,31.730992221280108,pass,True,False,False,(04)c6e9,RSD_only
930,148,31,almond shells,xrf,zn,capstan,knife mill (2mm),,47.0,3,20.666666666666668,0.5773502691896258,2.793630334788512,pass,False,True,False,(04)edd8,Dixon_only
931,160,19,walnut shells,xrf,rb,cutaway,knife mill (2mm),,47.0,3,4.666666666666667,0.5773502691896258,12.37179148263484,pass,False,True,False,(15)00d9,Dixon_only
940,160,19,walnut shells,xrf,zn,cutaway,knife mill (2mm),,47.0,3,9.333333333333334,1.1547005383792517,12.37179148263484,pass,False,True,False,(15)86eb,Dixon_only
949,160,19,walnut shells,xrf,ba,cutaway,knife mill (2mm),,47.0,3,27.33333333333333,4.041451884327381,14.78579957680749,pass,False,True,False,(15)dc7b,Dixon_only
992,108,23,grape pomace,xrf,ba,boatswain,oven dry + knife mill (2mm),,47.0,3,731.3333333333334,1176.7116610849632,160.89949786941156,pass,True,True,True,(24)c777,all_three
993,108,23,grape pomace,xrf,ce,boatswain,oven dry + knife mill (2mm),,47.0,3,1393.3333333333333,2248.87734955318,161.40268058994113,pass,True,True,True,(24)c76f,all_three
996,108,23,grape pomace,xrf,la,boatswain,oven dry + knife mill (2mm),,47.0,3,1058.6666666666667,1707.225917485244,161.26189396900918,pass,True,True,True,(24)3474,all_three
998,108,23,grape pomace,xrf,u,boatswain,oven dry + knife mill (2mm),,47.0,3,13.333333333333334,1.1547005383792517,8.660254037844387,pass,False,True,False,(24)55e4,Dixon_only
1000,108,23,grape pomace,xrf,cu,boatswain,oven dry + knife mill (2mm),,47.0,3,22.33333333333333,0.5773502691896258,2.5851504590580263,pass,False,True,False,(24)d959,Dixon_only
1001,108,23,grape pomace,xrf,k,boatswain,oven dry + knife mill (2mm),,47.0,3,19933.33333333333,635.0852961085884,3.186046635996264,pass,False,True,False,(24)c419,Dixon_only
1012,144,25,almond hulls,xrf,fe,tiny,knife mill (2mm),,47.0,3,475.0,21.65640782770772,4.559243753201623,pass,False,True,False,(27)1859,Dixon_only
1015,144,25,almond hulls,xrf,zn,tiny,knife mill (2mm),,47.0,3,15.333333333333334,0.5773502691896257,3.765327842541037,pass,False,True,False,(27)e35f,Dixon_only
1023,144,25,almond hulls,xrf,nd,tiny,knife mill (2mm),,47.0,2,112.5,27.577164466275352,24.513035081133648,pass,True,,False,,RSD_only
1024,144,25,almond hulls,xrf,rb,tiny,knife mill (2mm),,47.0,3,9.333333333333334,1.1547005383792517,12.37179148263484,pass,False,True,False,(27)edc1,Dixon_only
1074,77,5,alfalfa,xrf,cu,possessive,knife mill (2mm),,47.0,3,26.666666666666668,2.309401076758504,8.660254037844387,pass,False,True,False,(3c)1002,Dixon_only
1075,77,5,alfalfa,xrf,ca,possessive,knife mill (2mm),,47.0,3,28166.666666666668,1823.001188516709,6.472193568698375,pass,False,False,True,(3c)591a,3xSD_only
1077,77,5,alfalfa,xrf,ba,possessive,knife mill (2mm),,47.0,3,26.0,5.5677643628300215,21.414478318577007,pass,True,False,False,(3c)2527,RSD_only
1080,77,5,alfalfa,xrf,u,possessive,knife mill (2mm),,47.0,3,20.0,1.7320508075688772,8.660254037844387,pass,False,True,False,(3c)8474,Dixon_only
1083,77,5,alfalfa,xrf,mo,possessive,knife mill (2mm),,47.0,3,9.0,3.0,33.33333333333333,pass,True,False,False,(3c)499c,RSD_only
1094,81,27,rice straw,xrf,sr,possessive,knife mill (2mm),,47.0,3,31.33333333333333,2.309401076758504,7.370428968378202,pass,False,True,False,(42)e4b6,Dixon_only
1095,81,27,rice straw,xrf,mo,possessive,knife mill (2mm),,47.0,3,11.0,1.7320508075688772,15.745916432444336,pass,False,True,False,(42)6055,Dixon_only
1109,81,27,rice straw,xrf,rb,possessive,knife mill (2mm),,47.0,3,45.66666666666666,1.1547005383792517,2.528541324918069,pass,False,True,False,(42)fd60,Dixon_only
1113,81,27,rice straw,xrf,as,possessive,knife mill (2mm),,47.0,3,7.333333333333333,0.5773502691896258,7.872958216222171,pass,False,True,False,(42)ae01,Dixon_only
1119,125,26,spent oak chips,xrf,k,rigging,oven dry + knife mill (2mm),,47.0,3,28800.0,5629.387178015028,19.546483256996623,pass,False,True,True,(48)06c7,Dixon_and_3xSD
1121,125,26,spent oak chips,xrf,cu,rigging,oven dry + knife mill (2mm),,47.0,3,9.333333333333334,0.5773502691896257,6.1858957413174185,pass,False,True,False,(48)0a1a,Dixon_only
1122,125,26,spent oak chips,xrf,ce,rigging,oven dry + knife mill (2mm),,47.0,3,52.0,10.583005244258365,20.351933162035312,pass,True,False,False,(48)0a9f,RSD_only
1124,125,26,spent oak chips,xrf,mo,rigging,oven dry + knife mill (2mm),,47.0,2,5.0,1.4142135623730951,28.284271247461906,pass,True,,False,,RSD_only
1125,125,26,spent oak chips,xrf,rb,rigging,oven dry + knife mill (2mm),,47.0,3,19.33333333333333,1.1547005383792517,5.972588991616818,pass,False,True,False,(48)1f4d,Dixon_only
1130,125,26,spent oak chips,xrf,sr,rigging,oven dry + knife mill (2mm),,47.0,3,5.333333333333333,0.5773502691896258,10.825317547305485,pass,False,True,False,(48)a73d,Dixon_only
1132,125,26,spent oak chips,xrf,ca,rigging,oven dry + knife mill (2mm),,47.0,3,1610.0,199.24858845171275,12.375688723708866,pass,False,True,False,(48)68fb,Dixon_only
1135,145,35,almond branches,xrf,ba,humorous,knife mill (2mm),,47.0,3,34.666666666666664,8.082903768654761,23.3160685634272,pass,True,True,False,(4c)44cd,RSD_and_Dixon
1136,145,35,almond branches,xrf,s,humorous,knife mill (2mm),,47.0,3,783.6666666666666,25.69695182961071,3.27906658821064,pass,False,True,False,(4c)d431,Dixon_only
1138,145,35,almond branches,xrf,th,humorous,knife mill (2mm),,47.0,3,51.0,1.7320508075688772,3.396178054056622,pass,False,True,False,(4c)f943,Dixon_only
1140,145,35,almond branches,xrf,zn,humorous,knife mill (2mm),,47.0,3,34.333333333333336,4.618802153517007,13.452821806360213,pass,False,True,False,(4c)3298,Dixon_only
1153,145,35,almond branches,xrf,sr,humorous,knife mill (2mm),,47.0,3,101.66666666666669,0.5773502691896257,0.5678855106783204,pass,False,True,False,(4c)dbea,Dixon_only
1236,80,20,wheat straw,xrf,mg,possessive,knife mill (2mm),,47.0,3,8400.0,718.9575787207476,8.559018794294616,pass,False,True,False,(62)82c1,Dixon_only
