replicate_group_id,sample_id,resource_id,resource_type,analysis_type,parameter,lab,method,protocol_version,unit,experiment_id,n_replicates,mean,median,standard_deviation,RSD_percent,min,max,range,values,source_record_ids,existing_QC_status,rsd_gt_10,rsd_gt_20,dixon_q_statistic,dixon_candidate_record_id,dixon_flag_0_05,dixon_status,rout_status,rout_status_reason
11,96,37,tomato pomace,compositional,xylose,pinecrest,oven dry + knife mill (2mm),,% dry weight,29.0,3,8.17,7.78,1.2707084638106414,15.553347170264889,7.14,9.59,2.45,"7.14,9.59,7.78","(0a)0950,(0a)261e,(0a)fd49",,True,False,0.7387755102040814,(0a)261e,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
12,96,37,tomato pomace,compositional,glucose,pinecrest,oven dry + knife mill (2mm),,% dry weight,29.0,3,15.413333333333332,15.46,0.8509602419228133,5.5209358256237895,14.54,16.24,1.6999999999999993,"16.24,15.46,14.54","(0a)16e9,(0a)295a,(0a)3735",,False,False,0.5411764705882365,(0a)3735,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
13,96,37,tomato pomace,compositional,xylan,pinecrest,oven dry + knife mill (2mm),,% dry weight,29.0,3,7.19,6.85,1.1194194924156,15.56911672344367,6.28,8.44,2.1599999999999997,"6.85,8.44,6.28","(0a)66c7,(0a)b2cd,(0a)c0df",,True,False,0.7361111111111113,(0a)b2cd,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
14,96,37,tomato pomace,compositional,glucan,pinecrest,oven dry + knife mill (2mm),,% dry weight,29.0,3,13.87,13.92,0.7662245101796206,5.524329561496904,13.08,14.61,1.5299999999999994,"13.08,13.92,14.61","(0a)719f,(0a)afd7,(0a)bfa4",,False,False,0.5490196078431374,(0a)719f,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
15,96,37,tomato pomace,compositional,lignin,pinecrest,oven dry + knife mill (2mm),,% dry weight,29.0,3,32.913333333333334,33.12,0.6357148207595381,1.931481124446642,32.2,33.42,1.2199999999999989,"32.2,33.42,33.12","(0a)7a1b,(0a)d246,(0a)e6b0",,False,False,0.754098360655734,(0a)7a1b,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
16,52,7,sargassum,compositional,glucan,hairpin,as is,,% dry weight,39.0,3,10.023333333333332,9.98,0.1305118130030125,1.302079943495303,9.92,10.17,0.25,"10.17,9.92,9.98","(0d)4993,(0d)4994,(0d)4995",pass,False,False,0.759999999999998,(0d)4993,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
17,52,7,sargassum,compositional,glucose,hairpin,as is,,% dry weight,39.0,3,11.133333333333333,11.08,0.1474222959166404,1.3241523585326986,11.02,11.3,0.2800000000000011,"11.3,11.02,11.08","(0d)4996,(0d)4997,(0d)4998",pass,False,False,0.7857142857142848,(0d)4996,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
18,52,7,sargassum,compositional,xylan,hairpin,as is,,% dry weight,39.0,3,4.406666666666666,4.3,0.3619852667351713,8.214491680828397,4.11,4.81,0.6999999999999993,"4.81,4.3,4.11","(0d)4999,(0d)5000,(0d)5001",pass,False,False,0.728571428571429,(0d)4999,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
19,52,7,sargassum,compositional,xylose,hairpin,as is,,% dry weight,39.0,3,5.006666666666667,4.89,0.4077172222672637,8.143486463394083,4.67,5.46,0.79,"5.46,4.89,4.67","(0d)5002,(0d)5003,(0d)5004",pass,False,False,0.7215189873417724,(0d)5002,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
20,52,7,sargassum,compositional,lignin,hairpin,as is,,% dry weight,39.0,3,25.85,25.76,0.5010987926547028,1.938486625356684,25.4,26.39,0.990000000000002,"25.4,26.39,25.76","(0d)5005,(0d)5006,(0d)5007",pass,False,False,0.6363636363636341,(0d)5006,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
21,70,31,almond shells,compositional,lignin,humorous,knife mill (2mm),,% dry weight,38.0,3,28.81,28.53,0.5556977595779917,1.9288363747934456,28.45,29.45,1.0,"29.45,28.53,28.45","(13)0685,(13)3600,(13)c9f5",pass,False,False,0.9199999999999982,(13)0685,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
22,70,31,almond shells,compositional,xylan,humorous,knife mill (2mm),,% dry weight,38.0,3,16.51,15.52,2.70449625623701,16.380958547771108,14.44,19.57,5.130000000000001,"15.52,19.57,14.44","(13)29f0,(13)9bb5,(13)aaf9",pass,True,False,0.7894736842105263,(13)9bb5,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
23,70,31,almond shells,compositional,xylose,humorous,knife mill (2mm),,% dry weight,38.0,3,18.76,17.63,3.0748821115613514,16.390629592544514,16.41,22.24,5.829999999999998,"16.41,22.24,17.63","(13)2c76,(13)6427,(13)6f70",pass,True,False,0.7907375643224701,(13)6427,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
24,70,31,almond shells,compositional,glucan,humorous,knife mill (2mm),,% dry weight,38.0,3,20.973333333333333,20.04,2.847144768594203,13.575070416056276,18.71,24.17,5.460000000000001,"20.04,24.17,18.71","(13)336e,(13)b5a0,(13)b6b6",pass,True,False,0.7564102564102567,(13)b5a0,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
25,70,31,almond shells,compositional,glucose,humorous,knife mill (2mm),,% dry weight,38.0,3,23.30333333333333,22.26,3.1666438595669915,13.588802143757652,20.79,26.86,6.07,"20.79,22.26,26.86","(13)8405,(13)ce37,(13)f0ed",pass,True,False,0.7578253706754526,(13)f0ed,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
26,71,25,almond hulls,compositional,glucose,humorous,knife mill (2mm),,% dry weight,38.0,3,23.87,23.56,0.8013114251026262,3.356981253048287,23.27,24.78,1.5100000000000016,"23.56,23.27,24.78","(15)0b07,(15)3f87,(15)44b9",pass,False,False,0.8079470198675505,(15)44b9,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
27,160,19,walnut shells,compositional,lignin,cutaway,knife mill (2mm),,% dry weight,37.0,3,50.44,50.35,0.257099202643646,0.5097129314901786,50.24,50.73,0.4899999999999949,"50.24,50.35,50.73","(15)0e88,(15)42c9,(15)95c9",pass,False,False,0.7755102040816315,(15)95c9,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
28,160,19,walnut shells,compositional,glucose,cutaway,knife mill (2mm),,% dry weight,37.0,3,12.946666666666667,12.87,0.1871719352182194,1.4457152565773903,12.81,13.16,0.3499999999999996,"12.81,12.87,13.16","(15)1b96,(15)9c77,(15)ab15",pass,False,False,0.8285714285714321,(15)ab15,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
29,71,25,almond hulls,compositional,lignin,humorous,knife mill (2mm),,% dry weight,38.0,3,20.706666666666667,20.79,0.2746512940681941,1.3263906667813623,20.4,20.93,0.5300000000000011,"20.93,20.79,20.4","(15)1c41,(15)2b3c,(15)d582",pass,False,False,0.7358490566037731,(15)d582,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
30,71,25,almond hulls,compositional,xylan,humorous,knife mill (2mm),,% dry weight,38.0,3,10.436666666666666,10.27,0.323934149686836,3.103808524626344,10.23,10.81,0.5800000000000001,"10.23,10.81,10.27","(15)1ee2,(15)65e3,(15)d98b",pass,False,False,0.9310344827586222,(15)65e3,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
31,160,19,walnut shells,compositional,glucan,cutaway,knife mill (2mm),,% dry weight,37.0,3,11.65,11.58,0.1664331697709325,1.4286108993213091,11.53,11.84,0.3100000000000005,"11.53,11.84,11.58","(15)50cf,(15)797a,(15)fea0",pass,False,False,0.8387096774193528,(15)797a,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
32,160,19,walnut shells,compositional,xylose,cutaway,knife mill (2mm),,% dry weight,37.0,3,22.896666666666665,22.96,0.3295957119462176,1.4394921179773663,22.54,23.19,0.6500000000000021,"22.96,23.19,22.54","(15)7ae4,(15)8611,(15)93e3",pass,False,False,0.6461538461538466,(15)93e3,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
33,71,25,almond hulls,compositional,glucan,humorous,knife mill (2mm),,% dry weight,38.0,3,21.48,21.2,0.7219418259112018,3.3609954651359484,20.94,22.3,1.3599999999999994,"20.94,22.3,21.2","(15)849b,(15)8db8,(15)c93b",pass,False,False,0.808823529411766,(15)8db8,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
34,71,25,almond hulls,compositional,xylose,humorous,knife mill (2mm),,% dry weight,38.0,3,11.86,11.67,0.3642801120017391,3.071501787535743,11.63,12.28,0.6499999999999986,"11.63,12.28,11.67","(15)962e,(15)968f,(15)d283",pass,False,False,0.9384615384615397,(15)968f,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
35,160,19,walnut shells,compositional,xylan,cutaway,knife mill (2mm),,% dry weight,37.0,3,20.15,20.21,0.2946183972531258,1.4621260409584402,19.83,20.41,0.5800000000000018,"20.41,20.21,19.83","(15)b511,(15)cd40,(15)e1e0",pass,False,False,0.6551724137931058,(15)e1e0,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
36,49,31,almond shells,compositional,xylose,tiny,knife mill (2mm),,% dry weight,41.0,3,26.08,26.17,0.3148015247739438,1.2070610612497843,25.73,26.34,0.6099999999999994,"25.73,26.17,26.34","(24)0b42,(24)7d8d,(24)ec7f",pass,False,False,0.7213114754098389,(24)0b42,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
37,49,31,almond shells,compositional,xylan,tiny,knife mill (2mm),,% dry weight,41.0,3,22.95,23.03,0.2787471972953268,1.2145847376702694,22.64,23.18,0.5399999999999991,"23.03,22.64,23.18","(24)0bc2,(24)1926,(24)6b86",pass,False,False,0.7222222222222244,(24)1926,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
38,49,31,almond shells,compositional,glucan,tiny,knife mill (2mm),,% dry weight,41.0,3,26.936666666666667,26.98,0.3073000705065543,1.1408244171756747,26.61,27.22,0.6099999999999994,"26.61,26.98,27.22","(24)2a68,(24)42f3,(24)70e6",pass,False,False,0.6065573770491826,(24)2a68,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
39,49,31,almond shells,compositional,lignin,tiny,knife mill (2mm),,% dry weight,41.0,3,24.706666666666667,24.75,0.1209683154108271,0.4896181141830564,24.57,24.8,0.2300000000000004,"24.57,24.8,24.75","(24)773e,(24)a25e,(24)ec0a",pass,False,False,0.7826086956521712,(24)773e,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
40,49,31,almond shells,compositional,glucose,tiny,knife mill (2mm),,% dry weight,41.0,3,29.926666666666662,29.97,0.3370954365359055,1.1264048892935137,29.57,30.24,0.6699999999999982,"29.57,30.24,29.97","(24)8d6f,(24)ec97,(24)fab3",pass,False,False,0.5970149253731338,(24)8d6f,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
41,144,25,almond hulls,compositional,xylan,tiny,knife mill (2mm),,% dry weight,27.0,3,8.126666666666667,8.17,0.1209683154108271,1.488535464448242,7.99,8.22,0.2300000000000004,"8.17,7.99,8.22","(27)0e20,(27)0f39,(27)d3e3",,False,False,0.7826086956521712,(27)0f39,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
42,144,25,almond hulls,compositional,glucan,tiny,knife mill (2mm),,% dry weight,27.0,3,22.99666666666667,22.89,0.2665207934352089,1.1589540227650772,22.8,23.3,0.5,"23.3,22.8,22.89","(27)26f8,(27)5157,(27)69cc",,False,False,0.8200000000000003,(27)26f8,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
43,144,25,almond hulls,compositional,glucose,tiny,knife mill (2mm),,% dry weight,27.0,3,25.55,25.43,0.2986636904613626,1.1689381231364486,25.33,25.89,0.5600000000000023,"25.33,25.43,25.89","(27)273b,(27)5335,(27)d81b",,False,False,0.8214285714285696,(27)d81b,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
44,144,25,almond hulls,compositional,lignin,tiny,knife mill (2mm),,% dry weight,27.0,3,21.78333333333333,21.78,0.0950438495292205,0.4363145349466895,21.69,21.88,0.1899999999999977,"21.88,21.69,21.78","(27)4164,(27)baa8,(27)d4db",,False,False,0.5263157894736793,(27)4164,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
45,144,25,almond hulls,compositional,xylose,tiny,knife mill (2mm),,% dry weight,27.0,3,9.236666666666666,9.29,0.1379613472438322,1.493627000113666,9.08,9.34,0.2599999999999998,"9.34,9.08,9.29","(27)5646,(27)b1a3,(27)f0a1",,False,False,0.8076923076923048,(27)b1a3,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
46,10,37,tomato pomace,compositional,lignin+,riverstone,oven dry,,% dry weight,40.0,3,40.07333333333333,40.12,0.2928025500799724,0.7306668193644297,39.76,40.34,0.5800000000000054,"40.34,40.12,39.76","(28)1266,(28)d0cf,(28)e48e",pass,False,False,0.620689655172407,(28)e48e,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
47,10,37,tomato pomace,compositional,xylose,riverstone,oven dry,,% dry weight,40.0,3,12.0,12.56,1.1838918869558994,9.865765724632496,10.64,12.8,2.16,"12.56,10.64,12.8","(28)2429,(28)7919,(28)a3d2",pass,False,False,0.8888888888888888,(28)7919,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
48,68,24,corn stover cobs,compositional,lignin,caterpillar,knife mill (2mm),,% dry weight,38.0,3,15.79,15.77,0.1708800749063506,1.0822044009268563,15.63,15.97,0.3399999999999998,"15.63,15.77,15.97","(28)4712,(28)50a7,(28)8908",pass,False,False,0.5882352941176504,(28)8908,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
49,68,24,corn stover cobs,compositional,glucan,caterpillar,knife mill (2mm),,% dry weight,38.0,3,34.080000000000005,34.09,0.045825756949557,0.1344652492651321,34.03,34.12,0.0899999999999963,"34.12,34.03,34.09","(28)48e7,(28)9a1d,(28)bca2",pass,False,False,0.6666666666667193,(28)9a1d,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
50,10,37,tomato pomace,compositional,glucan,riverstone,oven dry,,% dry weight,40.0,3,13.07,13.66,1.1812281744015416,9.037706001542016,11.71,13.84,2.129999999999999,"13.84,13.66,11.71","(28)491e,(28)75a7,(28)a602",pass,False,False,0.915492957746479,(28)a602,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
51,68,24,corn stover cobs,compositional,xylose,caterpillar,knife mill (2mm),,% dry weight,38.0,3,28.926666666666662,29.05,0.36115555282085,1.248521155176942,28.52,29.21,0.6900000000000013,"29.05,28.52,29.21","(28)520d,(28)a764,(28)c01c",pass,False,False,0.7681159420289857,(28)a764,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
52,10,37,tomato pomace,compositional,glucose,riverstone,oven dry,,% dry weight,40.0,3,14.516666666666666,15.17,1.3086379687802632,9.014727683905372,13.01,15.37,2.3599999999999994,"15.37,13.01,15.17","(28)59b5,(28)cfc4,(28)f6c9",pass,False,False,0.9152542372881358,(28)cfc4,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
53,10,37,tomato pomace,compositional,xylan,riverstone,oven dry,,% dry weight,40.0,3,10.56,11.06,1.0440306508910553,9.88665389101378,9.36,11.26,1.9000000000000004,"11.06,9.36,11.26","(28)847b,(28)8c33,(28)f0fe",pass,False,False,0.8947368421052635,(28)8c33,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
54,68,24,corn stover cobs,compositional,glucose,caterpillar,knife mill (2mm),,% dry weight,38.0,3,37.86666666666667,37.88,0.0513160143944664,0.1355176436473586,37.81,37.91,0.0999999999999943,"37.81,37.91,37.88","(28)97be,(28)a74f,(28)f2a0",pass,False,False,0.7000000000000426,(28)97be,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
55,68,24,corn stover cobs,compositional,xylan,caterpillar,knife mill (2mm),,% dry weight,38.0,3,25.453333333333333,25.56,0.323470761172217,1.2708385064387782,25.09,25.71,0.620000000000001,"25.71,25.09,25.56","(28)a625,(28)c6e6,(28)c7e9",pass,False,False,0.7580645161290293,(28)c6e6,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
56,65,32,olive pomace,compositional,xylan,jaguar,oven dry + knife mill (2mm),,% dry weight,40.0,2,9.685,9.685,0.1484924240491743,1.5332206922991671,9.58,9.79,0.209999999999999,"9.58,9.79","(29)1baa,(29)b693",,False,False,,,,not_applicable_n_out_of_range,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
57,65,32,olive pomace,compositional,glucan,jaguar,oven dry + knife mill (2mm),,% dry weight,40.0,2,11.855,11.855,0.0494974746830585,0.4175240378157615,11.82,11.89,0.0700000000000002,"11.82,11.89","(29)2d14,(29)9e60",,False,False,,,,not_applicable_n_out_of_range,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
58,65,32,olive pomace,compositional,lignin,jaguar,oven dry + knife mill (2mm),,% dry weight,40.0,2,7.699999999999999,7.699999999999999,0.1414213562373096,1.8366409900949303,7.6,7.8,0.2000000000000001,"7.6,7.8","(29)4989,(29)a1d2",,False,False,,,,not_applicable_n_out_of_range,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
59,48,25,almond hulls,compositional,xylan,vibrant,knife mill (2mm),,% dry weight,41.0,3,16.526666666666667,16.53,0.1050396750439235,0.6355768961915501,16.42,16.63,0.2099999999999973,"16.63,16.42,16.53","(31)04ab,(31)3fdc,(31)8be1",pass,False,False,0.5238095238095278,(31)3fdc,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
60,48,25,almond hulls,compositional,xylose,vibrant,knife mill (2mm),,% dry weight,41.0,3,18.78333333333333,18.79,0.1201388086062665,0.6396032401398396,18.66,18.9,0.2399999999999984,"18.9,18.66,18.79","(31)1e1b,(31)52b7,(31)9a9b",pass,False,False,0.5416666666666661,(31)52b7,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
61,48,25,almond hulls,compositional,lignin,vibrant,knife mill (2mm),,% dry weight,41.0,3,20.646666666666665,20.48,0.2973774257292119,1.4403168827698347,20.47,20.99,0.5199999999999996,"20.99,20.47,20.48","(31)504a,(31)6292,(31)bcc3",pass,False,False,0.9807692307692277,(31)504a,True,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
62,48,25,almond hulls,compositional,glucose,vibrant,knife mill (2mm),,% dry weight,41.0,3,34.370000000000005,34.52,0.2861817604250841,0.832649870308653,34.04,34.55,0.509999999999998,"34.55,34.04,34.52","(31)7265,(31)eec3,(31)f0ca",pass,False,False,0.9411764705882467,(31)eec3,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
63,48,25,almond hulls,compositional,glucan,vibrant,knife mill (2mm),,% dry weight,41.0,3,30.926666666666662,31.06,0.2573583752927684,0.8321568504831919,30.63,31.09,0.4600000000000008,"30.63,31.09,31.06","(31)749c,(31)d8e4,(31)edc7",pass,False,False,0.9347826086956498,(31)749c,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
64,47,31,almond shells,compositional,xylose,vibrant,knife mill (2mm),,% dry weight,41.0,3,26.38666666666667,26.51,0.4479211240088301,1.697528261781822,25.89,26.76,0.870000000000001,"25.89,26.76,26.51","(37)0930,(37)82b5,(37)9c26",pass,False,False,0.7126436781609199,(37)0930,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
65,47,31,almond shells,compositional,xylan,vibrant,knife mill (2mm),,% dry weight,41.0,3,23.22333333333333,23.33,0.3910669166949996,1.6839396441581729,22.79,23.55,0.7600000000000016,"23.55,23.33,22.79","(37)2e71,(37)4504,(37)679f",pass,False,False,0.7105263157894711,(37)679f,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
66,47,31,almond shells,compositional,glucan,vibrant,knife mill (2mm),,% dry weight,41.0,3,28.47,28.6,0.2879236009777599,1.0113227993598874,28.14,28.67,0.5300000000000011,"28.67,28.6,28.14","(37)3b10,(37)c333,(37)fb45",pass,False,False,0.8679245283018865,(37)fb45,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
67,47,31,almond shells,compositional,lignin,vibrant,knife mill (2mm),,% dry weight,41.0,3,26.263333333333332,26.23,0.4808672720547051,1.8309453181420423,25.8,26.76,0.9600000000000009,"26.76,26.23,25.8","(37)4b35,(37)6df6,(37)99cb",pass,False,False,0.552083333333334,(37)4b35,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
68,47,31,almond shells,compositional,glucose,vibrant,knife mill (2mm),,% dry weight,41.0,3,31.636666666666667,31.78,0.3200520790954708,1.0116491805778238,31.27,31.86,0.5899999999999999,"31.27,31.86,31.78","(37)8ab5,(37)d647,(37)da91",pass,False,False,0.8644067796610198,(37)8ab5,False,calculated,not_calculated,ROUT not implemented from scratch during MVP per handoff guardrails; no trusted existing implementation wired up yet.
