Residue Type,Resource,Resource Code,LandIQ Crop Name,Include In Totals,Collected?,From Month,To Month,Residue Yield (Wet Ton/Ac),Moisture Content,Residue Yield (Dry Ton/Ac)
Processing Waste,Peach rejects,PchRj,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Peach screening waste,PchSW,Peaches/Nectarines,FALSE,TRUE,5,9,,,
Processing Waste,Peach seeds,PchSd,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Peach stems / leaves,PchSt,Peaches/Nectarines,TRUE,TRUE,5,9,,,
Processing Waste,Pear off-spec canned products,PrOSC,Pears,TRUE,TRUE,7,9,,,
Processing Waste,Pear peels,PrPl,Pears,TRUE,TRUE,7,9,,,
Processing Waste,Pear pomace,PrPo,Pears,TRUE,TRUE,7,9,,,
Processing Waste,Pear rejects,PrRj,Pears,TRUE,TRUE,7,9,,,
Processing Waste,Pear screening waste,PrSW,Pears,FALSE,TRUE,7,9,,,
Processing Waste,Pear seeds,PrSd,Pears,TRUE,TRUE,7,9,,,
Processing Waste,Pear stems / leaves,PrSt,Pears,TRUE,TRUE,7,9,,,
Processing Waste,Pistachio hulls,PiHu,Pistachios,TRUE,TRUE,9,11,,,
Processing Waste,Pistachio shells,Pis,Pistachios,TRUE,TRUE,9,11,,,
Processing Waste,Pistachio stems & leaves,PiSL,Pistachios,TRUE,TRUE,9,11,,,
Processing Waste,Plum off-spec canned products,PlmOSC,Plums,TRUE,TRUE,6,8,,,
Processing Waste,Plum peels,PlmPl,Plums,TRUE,TRUE,6,8,,,
Processing Waste,Plum pomace,PlmPo,Plums,TRUE,TRUE,6,8,,,
Processing Waste,Plum rejects,PlmRj,Plums,TRUE,TRUE,6,8,,,
Processing Waste,Plum screening waste,PlmSW,Plums,FALSE,TRUE,6,8,,,
Processing Waste,Plum seeds,PlmSd,Plums,TRUE,TRUE,6,8,,,
Processing Waste,Plum stems / leaves,PlmSt,Plums,TRUE,TRUE,6,8,,,
Processing Waste,Pluot off-spec canned products,PltOSC,Miscellaneous Deciduous,TRUE,TRUE,6,8,,,
Processing Waste,Pluot peels,PltPl,Miscellaneous Deciduous,TRUE,TRUE,6,8,,,
Processing Waste,Pluot pomace,PltPo,Miscellaneous Deciduous,TRUE,TRUE,6,8,,,
Processing Waste,Pluot rejects,PltRj,Miscellaneous Deciduous,TRUE,TRUE,6,8,,,
Processing Waste,Pluot screening waste,PltSW,Miscellaneous Deciduous,FALSE,TRUE,6,8,,,
Processing Waste,Pluot seeds,PltSd,Miscellaneous Deciduous,TRUE,TRUE,6,8,,,
Processing Waste,Pluot stems / leaves,PltSt,Miscellaneous Deciduous,TRUE,TRUE,6,8,,,
Processing Waste,Potato culls,PoCu,Potatoes,TRUE,TRUE,7,10,,,
Processing Waste,Potato culls-red,PoCuR,Potatoes,FALSE,TRUE,7,10,,,
Processing Waste,Potato culls-white,PoCuW,Potatoes,FALSE,TRUE,7,10,,,
Processing Waste,Potato culls-yellow,PoCuY,Potatoes,FALSE,TRUE,7,10,,,
Processing Waste,Rice hulls,RiHu,Rice,TRUE,TRUE,9,11,,,
Ag Residue,Rice straw,RiSt,Rice,TRUE,FALSE,9,11,1.8,14,1.6
N/A,Sargassum,Sarg,No Match,FALSE,FALSE,-,-,-,-,
Processing Waste,Spent oak chips,SpOk,Grapes,FALSE,TRUE,1,12,,,
Processing Waste,Spent oak stick,SpOS,Grapes,FALSE,TRUE,1,12,,,
Processing Waste,Spent yeast,SpYe,Grapes,FALSE,TRUE,1,12,,,
Processing Waste,Sweet potato culls,SPCul,Sweet Potatoes,TRUE,TRUE,8,11,,,
Processing Waste,Tomato pomace,TmPm,Tomatoes for Processing,TRUE,TRUE,7,10,,,
Processing Waste,Unused oak stick,UnOk,Grapes,FALSE,TRUE,1,12,,,
Processing Waste,Walnut hulling discharge,WaHD,Walnuts,TRUE,TRUE,9,11,,,
Processing Waste,Walnut Hulls,WaHu,Walnuts,TRUE,TRUE,9,11,,,
Processing Waste,Walnut shelling debris,WaShD,Walnuts,FALSE,TRUE,9,11,,,
Processing Waste,Walnut shelling fines,WaShF,Walnuts,FALSE,TRUE,9,11,,,
Processing Waste,Walnut Shells,WaSh,Walnuts,TRUE,TRUE,9,11,,,
Ag Residue,Walnut tree sticks,WaTrSt,Walnuts,TRUE,FALSE,11,1,1,43%,0.6
Processing Waste,Walnut waste kernels,WaWk,Walnuts,TRUE,TRUE,9,11,,,
Ag Residue,Wheat hay,WHy,Wheat,TRUE,FALSE,6,8,1.2,14%,1
Ag Residue,Wheat straw,WSt,Wheat,FALSE,FALSE,6,8,1.2,14%,1
